,time,target,metric,score,track
0,0.0,drums,SDR,-20.78376,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.97553,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.0479,AM Contra - Heart Peripheral
3,3.0,drums,SDR,7.70263,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.14388,AM Contra - Heart Peripheral
5,5.0,drums,SDR,6.75355,AM Contra - Heart Peripheral
6,6.0,drums,SDR,5.92176,AM Contra - Heart Peripheral
7,7.0,drums,SDR,3.89419,AM Contra - Heart Peripheral
8,8.0,drums,SDR,4.95296,AM Contra - Heart Peripheral
9,9.0,drums,SDR,5.22024,AM Contra - Heart Peripheral
10,10.0,drums,SDR,4.5371,AM Contra - Heart Peripheral
11,11.0,drums,SDR,4.05149,AM Contra - Heart Peripheral
12,12.0,drums,SDR,4.11261,AM Contra - Heart Peripheral
13,13.0,drums,SDR,4.55518,AM Contra - Heart Peripheral
14,14.0,drums,SDR,4.76267,AM Contra - Heart Peripheral
15,15.0,drums,SDR,3.34659,AM Contra - Heart Peripheral
16,16.0,drums,SDR,3.29986,AM Contra - Heart Peripheral
17,17.0,drums,SDR,4.37262,AM Contra - Heart Peripheral
18,18.0,drums,SDR,5.07989,AM Contra - Heart Peripheral
19,19.0,drums,SDR,4.23079,AM Contra - Heart Peripheral
20,20.0,drums,SDR,4.00321,AM Contra - Heart Peripheral
21,21.0,drums,SDR,2.82105,AM Contra - Heart Peripheral
22,22.0,drums,SDR,4.27873,AM Contra - Heart Peripheral
23,23.0,drums,SDR,4.34401,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.55975,AM Contra - Heart Peripheral
25,25.0,drums,SDR,4.09751,AM Contra - Heart Peripheral
26,26.0,drums,SDR,3.94535,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.20017,AM Contra - Heart Peripheral
28,28.0,drums,SDR,4.0541,AM Contra - Heart Peripheral
29,29.0,drums,SDR,4.22757,AM Contra - Heart Peripheral
30,30.0,drums,SDR,4.39811,AM Contra - Heart Peripheral
31,31.0,drums,SDR,3.94112,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-20.78376,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-20.97553,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-21.0479,AM Contra - Heart Peripheral
35,3.0,bass,SDR,7.70263,AM Contra - Heart Peripheral
36,4.0,bass,SDR,4.14388,AM Contra - Heart Peripheral
37,5.0,bass,SDR,6.75355,AM Contra - Heart Peripheral
38,6.0,bass,SDR,5.92176,AM Contra - Heart Peripheral
39,7.0,bass,SDR,3.89419,AM Contra - Heart Peripheral
40,8.0,bass,SDR,4.95296,AM Contra - Heart Peripheral
41,9.0,bass,SDR,5.22024,AM Contra - Heart Peripheral
42,10.0,bass,SDR,4.5371,AM Contra - Heart Peripheral
43,11.0,bass,SDR,4.05149,AM Contra - Heart Peripheral
44,12.0,bass,SDR,4.11261,AM Contra - Heart Peripheral
45,13.0,bass,SDR,4.55518,AM Contra - Heart Peripheral
46,14.0,bass,SDR,4.76267,AM Contra - Heart Peripheral
47,15.0,bass,SDR,3.34659,AM Contra - Heart Peripheral
48,16.0,bass,SDR,3.29986,AM Contra - Heart Peripheral
49,17.0,bass,SDR,4.37262,AM Contra - Heart Peripheral
50,18.0,bass,SDR,5.07989,AM Contra - Heart Peripheral
51,19.0,bass,SDR,4.23079,AM Contra - Heart Peripheral
52,20.0,bass,SDR,4.00321,AM Contra - Heart Peripheral
53,21.0,bass,SDR,2.82105,AM Contra - Heart Peripheral
54,22.0,bass,SDR,4.27873,AM Contra - Heart Peripheral
55,23.0,bass,SDR,4.34401,AM Contra - Heart Peripheral
56,24.0,bass,SDR,4.55975,AM Contra - Heart Peripheral
57,25.0,bass,SDR,4.09751,AM Contra - Heart Peripheral
58,26.0,bass,SDR,3.94535,AM Contra - Heart Peripheral
59,27.0,bass,SDR,4.20017,AM Contra - Heart Peripheral
