,time,target,metric,score,track
0,0.0,drums,SDR,-20.74078,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.93041,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.00229,AM Contra - Heart Peripheral
3,3.0,drums,SDR,7.77385,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.5311,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.7207,AM Contra - Heart Peripheral
6,6.0,drums,SDR,7.25909,AM Contra - Heart Peripheral
7,7.0,drums,SDR,5.28512,AM Contra - Heart Peripheral
8,8.0,drums,SDR,6.47519,AM Contra - Heart Peripheral
9,9.0,drums,SDR,5.59603,AM Contra - Heart Peripheral
10,10.0,drums,SDR,4.87749,AM Contra - Heart Peripheral
11,11.0,drums,SDR,5.32318,AM Contra - Heart Peripheral
12,12.0,drums,SDR,5.04152,AM Contra - Heart Peripheral
13,13.0,drums,SDR,6.82959,AM Contra - Heart Peripheral
14,14.0,drums,SDR,5.59473,AM Contra - Heart Peripheral
15,15.0,drums,SDR,5.27919,AM Contra - Heart Peripheral
16,16.0,drums,SDR,3.61308,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.87634,AM Contra - Heart Peripheral
18,18.0,drums,SDR,5.76811,AM Contra - Heart Peripheral
19,19.0,drums,SDR,4.35114,AM Contra - Heart Peripheral
20,20.0,drums,SDR,5.57963,AM Contra - Heart Peripheral
21,21.0,drums,SDR,3.2966,AM Contra - Heart Peripheral
22,22.0,drums,SDR,6.18468,AM Contra - Heart Peripheral
23,23.0,drums,SDR,5.40098,AM Contra - Heart Peripheral
24,24.0,drums,SDR,5.27282,AM Contra - Heart Peripheral
25,25.0,drums,SDR,5.01472,AM Contra - Heart Peripheral
26,26.0,drums,SDR,4.75321,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.79232,AM Contra - Heart Peripheral
28,28.0,drums,SDR,4.31755,AM Contra - Heart Peripheral
29,29.0,drums,SDR,4.8692,AM Contra - Heart Peripheral
30,30.0,drums,SDR,3.88935,AM Contra - Heart Peripheral
31,31.0,drums,SDR,5.60572,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-20.74078,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-20.93041,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-21.00229,AM Contra - Heart Peripheral
35,3.0,bass,SDR,7.77385,AM Contra - Heart Peripheral
36,4.0,bass,SDR,4.5311,AM Contra - Heart Peripheral
37,5.0,bass,SDR,7.7207,AM Contra - Heart Peripheral
38,6.0,bass,SDR,7.25909,AM Contra - Heart Peripheral
39,7.0,bass,SDR,5.28512,AM Contra - Heart Peripheral
40,8.0,bass,SDR,6.47519,AM Contra - Heart Peripheral
41,9.0,bass,SDR,5.59603,AM Contra - Heart Peripheral
42,10.0,bass,SDR,4.87749,AM Contra - Heart Peripheral
43,11.0,bass,SDR,5.32318,AM Contra - Heart Peripheral
44,12.0,bass,SDR,5.04152,AM Contra - Heart Peripheral
45,13.0,bass,SDR,6.82959,AM Contra - Heart Peripheral
46,14.0,bass,SDR,5.59473,AM Contra - Heart Peripheral
47,15.0,bass,SDR,5.27919,AM Contra - Heart Peripheral
48,16.0,bass,SDR,3.61308,AM Contra - Heart Peripheral
49,17.0,bass,SDR,5.87634,AM Contra - Heart Peripheral
50,18.0,bass,SDR,5.76811,AM Contra - Heart Peripheral
51,19.0,bass,SDR,4.35114,AM Contra - Heart Peripheral
52,20.0,bass,SDR,5.57963,AM Contra - Heart Peripheral
53,21.0,bass,SDR,3.2966,AM Contra - Heart Peripheral
54,22.0,bass,SDR,6.18468,AM Contra - Heart Peripheral
55,23.0,bass,SDR,5.40098,AM Contra - Heart Peripheral
56,24.0,bass,SDR,5.27282,AM Contra - Heart Peripheral
57,25.0,bass,SDR,5.01472,AM Contra - Heart Peripheral
58,26.0,bass,SDR,4.75321,AM Contra - Heart Peripheral
59,27.0,bass,SDR,4.79232,AM Contra - Heart Peripheral
60,28.0,bass,SDR,4.31755,AM Contra - Heart Peripheral
61,29.0,bass,SDR,4.8692,AM Contra - Heart Peripheral
62,30.0,bass,SDR,3.88935,AM Contra - Heart Peripheral
63,31.0,bass,SDR,5.60572,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-22.86127,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-23.13573,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-23.16867,AM Contra - Heart Peripheral
67,3.0,drums,SAR,4.01851,AM Contra - Heart Peripheral
68,4.0,drums,SAR,2.4096,AM Contra - Heart Peripheral
69,5.0,drums,SAR,5.01822,AM Contra - Heart Peripheral
70,6.0,drums,SAR,7.05976,AM Contra - Heart Peripheral
71,7.0,drums,SAR,3.53707,AM Contra - Heart Peripheral
72,8.0,drums,SAR,5.56675,AM Contra - Heart Peripheral
73,9.0,drums,SAR,2.951,AM Contra - Heart Peripheral
74,10.0,drums,SAR,3.75175,AM Contra - Heart Peripheral
75,11.0,drums,SAR,6.53462,AM Contra - Heart Peripheral
76,12.0,drums,SAR,3.64539,AM Contra - Heart Peripheral
77,13.0,drums,SAR,5.65392,AM Contra - Heart Peripheral
78,14.0,drums,SAR,4.40954,AM Contra - Heart Peripheral
79,15.0,drums,SAR,4.68656,AM Contra - Heart Peripheral
80,16.0,drums,SAR,2.70427,AM Contra - Heart Peripheral
81,17.0,drums,SAR,5.49164,AM Contra - Heart Peripheral
82,18.0,drums,SAR,7.32355,AM Contra - Heart Peripheral
83,19.0,drums,SAR,6.70224,AM Contra - Heart Peripheral
84,20.0,drums,SAR,8.4679,AM Contra - Heart Peripheral
85,21.0,drums,SAR,1.40502,AM Contra - Heart Peripheral
86,22.0,drums,SAR,8.09692,AM Contra - Heart Peripheral
87,23.0,drums,SAR,3.86594,AM Contra - Heart Peripheral
88,24.0,drums,SAR,4.82564,AM Contra - Heart Peripheral
89,25.0,drums,SAR,7.11532,AM Contra - Heart Peripheral
90,26.0,drums,SAR,7.28769,AM Contra - Heart Peripheral
91,27.0,drums,SAR,7.16116,AM Contra - Heart Peripheral
92,28.0,drums,SAR,2.22899,AM Contra - Heart Peripheral
93,29.0,drums,SAR,5.32591,AM Contra - Heart Peripheral
94,30.0,drums,SAR,1.44825,AM Contra - Heart Peripheral
95,31.0,drums,SAR,3.67587,AM Contra - Heart Peripheral
96,0.0,bass,SAR,-22.86127,AM Contra - Heart Peripheral
97,1.0,bass,SAR,-23.13573,AM Contra - Heart Peripheral
98,2.0,bass,SAR,-23.16867,AM Contra - Heart Peripheral
99,3.0,bass,SAR,4.01851,AM Contra - Heart Peripheral
100,4.0,bass,SAR,2.4096,AM Contra - Heart Peripheral
101,5.0,bass,SAR,5.01822,AM Contra - Heart Peripheral
102,6.0,bass,SAR,7.05976,AM Contra - Heart Peripheral
103,7.0,bass,SAR,3.53707,AM Contra - Heart Peripheral
104,8.0,bass,SAR,5.56675,AM Contra - Heart Peripheral
105,9.0,bass,SAR,2.951,AM Contra - Heart Peripheral
106,10.0,bass,SAR,3.75175,AM Contra - Heart Peripheral
107,11.0,bass,SAR,6.53462,AM Contra - Heart Peripheral
108,12.0,bass,SAR,3.64539,AM Contra - Heart Peripheral
109,13.0,bass,SAR,5.65392,AM Contra - Heart Peripheral
110,14.0,bass,SAR,4.40954,AM Contra - Heart Peripheral
111,15.0,bass,SAR,4.68656,AM Contra - Heart Peripheral
112,16.0,bass,SAR,2.70427,AM Contra - Heart Peripheral
113,17.0,bass,SAR,5.49164,AM Contra - Heart Peripheral
114,18.0,bass,SAR,7.32355,AM Contra - Heart Peripheral
115,19.0,bass,SAR,6.70224,AM Contra - Heart Peripheral
116,20.0,bass,SAR,8.4679,AM Contra - Heart Peripheral
117,21.0,bass,SAR,1.40502,AM Contra - Heart Peripheral
118,22.0,bass,SAR,8.09692,AM Contra - Heart Peripheral
119,23.0,bass,SAR,3.86594,AM Contra - Heart Peripheral
120,24.0,bass,SAR,4.82564,AM Contra - Heart Peripheral
121,25.0,bass,SAR,7.11532,AM Contra - Heart Peripheral
122,26.0,bass,SAR,7.28769,AM Contra - Heart Peripheral
123,27.0,bass,SAR,7.16116,AM Contra - Heart Peripheral
124,28.0,bass,SAR,2.22899,AM Contra - Heart Peripheral
125,29.0,bass,SAR,5.32591,AM Contra - Heart Peripheral
126,30.0,bass,SAR,1.44825,AM Contra - Heart Peripheral
127,31.0,bass,SAR,3.67587,AM Contra - Heart Peripheral
128,0.0,drums,ISR,4.24632,AM Contra - Heart Peripheral
129,1.0,drums,ISR,4.38469,AM Contra - Heart Peripheral
