,time,target,metric,score,track
0,0.0,drums,SDR,-36.48064,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.86126,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-20.93112,AM Contra - Heart Peripheral
3,3.0,drums,SDR,8.95704,AM Contra - Heart Peripheral
4,4.0,drums,SDR,6.54724,AM Contra - Heart Peripheral
5,5.0,drums,SDR,5.72366,AM Contra - Heart Peripheral
6,6.0,drums,SDR,10.67932,AM Contra - Heart Peripheral
7,7.0,drums,SDR,6.19369,AM Contra - Heart Peripheral
8,8.0,drums,SDR,7.43212,AM Contra - Heart Peripheral
9,9.0,drums,SDR,6.16854,AM Contra - Heart Peripheral
10,10.0,drums,SDR,5.60045,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.61118,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.5421,AM Contra - Heart Peripheral
13,13.0,drums,SDR,9.51008,AM Contra - Heart Peripheral
14,14.0,drums,SDR,5.75935,AM Contra - Heart Peripheral
15,15.0,drums,SDR,7.84047,AM Contra - Heart Peripheral
16,16.0,drums,SDR,5.10964,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.17093,AM Contra - Heart Peripheral
18,18.0,drums,SDR,10.50244,AM Contra - Heart Peripheral
19,19.0,drums,SDR,8.78446,AM Contra - Heart Peripheral
20,20.0,drums,SDR,9.17131,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.47918,AM Contra - Heart Peripheral
22,22.0,drums,SDR,9.48867,AM Contra - Heart Peripheral
23,23.0,drums,SDR,4.95132,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.88805,AM Contra - Heart Peripheral
25,25.0,drums,SDR,9.04186,AM Contra - Heart Peripheral
26,26.0,drums,SDR,9.41451,AM Contra - Heart Peripheral
27,27.0,drums,SDR,9.10553,AM Contra - Heart Peripheral
28,28.0,drums,SDR,5.68461,AM Contra - Heart Peripheral
29,29.0,drums,SDR,7.39925,AM Contra - Heart Peripheral
30,30.0,drums,SDR,5.54528,AM Contra - Heart Peripheral
31,31.0,drums,SDR,5.97365,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-36.48064,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-20.86126,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-20.93112,AM Contra - Heart Peripheral
35,3.0,bass,SDR,8.95704,AM Contra - Heart Peripheral
36,4.0,bass,SDR,6.54724,AM Contra - Heart Peripheral
37,5.0,bass,SDR,5.72366,AM Contra - Heart Peripheral
38,6.0,bass,SDR,10.67932,AM Contra - Heart Peripheral
39,7.0,bass,SDR,6.19369,AM Contra - Heart Peripheral
40,8.0,bass,SDR,7.43212,AM Contra - Heart Peripheral
41,9.0,bass,SDR,6.16854,AM Contra - Heart Peripheral
42,10.0,bass,SDR,5.60045,AM Contra - Heart Peripheral
43,11.0,bass,SDR,8.61118,AM Contra - Heart Peripheral
44,12.0,bass,SDR,7.5421,AM Contra - Heart Peripheral
45,13.0,bass,SDR,9.51008,AM Contra - Heart Peripheral
46,14.0,bass,SDR,5.75935,AM Contra - Heart Peripheral
47,15.0,bass,SDR,7.84047,AM Contra - Heart Peripheral
48,16.0,bass,SDR,5.10964,AM Contra - Heart Peripheral
49,17.0,bass,SDR,5.17093,AM Contra - Heart Peripheral
50,18.0,bass,SDR,10.50244,AM Contra - Heart Peripheral
51,19.0,bass,SDR,8.78446,AM Contra - Heart Peripheral
52,20.0,bass,SDR,9.17131,AM Contra - Heart Peripheral
53,21.0,bass,SDR,4.47918,AM Contra - Heart Peripheral
54,22.0,bass,SDR,9.48867,AM Contra - Heart Peripheral
55,23.0,bass,SDR,4.95132,AM Contra - Heart Peripheral
56,24.0,bass,SDR,4.88805,AM Contra - Heart Peripheral
57,25.0,bass,SDR,9.04186,AM Contra - Heart Peripheral
58,26.0,bass,SDR,9.41451,AM Contra - Heart Peripheral
59,27.0,bass,SDR,9.10553,AM Contra - Heart Peripheral
60,28.0,bass,SDR,5.68461,AM Contra - Heart Peripheral
61,29.0,bass,SDR,7.39925,AM Contra - Heart Peripheral
62,30.0,bass,SDR,5.54528,AM Contra - Heart Peripheral
63,31.0,bass,SDR,5.97365,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-37.76199,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-22.12555,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-22.17218,AM Contra - Heart Peripheral
67,3.0,drums,SAR,6.68042,AM Contra - Heart Peripheral
68,4.0,drums,SAR,5.31217,AM Contra - Heart Peripheral
69,5.0,drums,SAR,4.5192,AM Contra - Heart Peripheral
70,6.0,drums,SAR,11.91725,AM Contra - Heart Peripheral
71,7.0,drums,SAR,5.10052,AM Contra - Heart Peripheral
72,8.0,drums,SAR,7.04461,AM Contra - Heart Peripheral
73,9.0,drums,SAR,5.34542,AM Contra - Heart Peripheral
74,10.0,drums,SAR,5.5101,AM Contra - Heart Peripheral
75,11.0,drums,SAR,8.97528,AM Contra - Heart Peripheral
76,12.0,drums,SAR,7.36802,AM Contra - Heart Peripheral
77,13.0,drums,SAR,9.51744,AM Contra - Heart Peripheral
78,14.0,drums,SAR,4.27224,AM Contra - Heart Peripheral
79,15.0,drums,SAR,6.3337,AM Contra - Heart Peripheral
80,16.0,drums,SAR,4.17582,AM Contra - Heart Peripheral
81,17.0,drums,SAR,5.27539,AM Contra - Heart Peripheral
82,18.0,drums,SAR,11.74438,AM Contra - Heart Peripheral
83,19.0,drums,SAR,8.97279,AM Contra - Heart Peripheral
84,20.0,drums,SAR,11.91282,AM Contra - Heart Peripheral
85,21.0,drums,SAR,3.10067,AM Contra - Heart Peripheral
86,22.0,drums,SAR,10.9039,AM Contra - Heart Peripheral
87,23.0,drums,SAR,3.87358,AM Contra - Heart Peripheral
88,24.0,drums,SAR,4.09655,AM Contra - Heart Peripheral
89,25.0,drums,SAR,11.33806,AM Contra - Heart Peripheral
90,26.0,drums,SAR,11.17494,AM Contra - Heart Peripheral
91,27.0,drums,SAR,10.61434,AM Contra - Heart Peripheral
92,28.0,drums,SAR,5.11385,AM Contra - Heart Peripheral
93,29.0,drums,SAR,8.76194,AM Contra - Heart Peripheral
94,30.0,drums,SAR,4.37925,AM Contra - Heart Peripheral
95,31.0,drums,SAR,5.4613,AM Contra - Heart Peripheral
96,0.0,bass,SAR,-37.76199,AM Contra - Heart Peripheral
97,1.0,bass,SAR,-22.12555,AM Contra - Heart Peripheral
98,2.0,bass,SAR,-22.17218,AM Contra - Heart Peripheral
99,3.0,bass,SAR,6.68042,AM Contra - Heart Peripheral
100,4.0,bass,SAR,5.31217,AM Contra - Heart Peripheral
101,5.0,bass,SAR,4.5192,AM Contra - Heart Peripheral
102,6.0,bass,SAR,11.91725,AM Contra - Heart Peripheral
103,7.0,bass,SAR,5.10052,AM Contra - Heart Peripheral
104,8.0,bass,SAR,7.04461,AM Contra - Heart Peripheral
105,9.0,bass,SAR,5.34542,AM Contra - Heart Peripheral
106,10.0,bass,SAR,5.5101,AM Contra - Heart Peripheral
107,11.0,bass,SAR,8.97528,AM Contra - Heart Peripheral
108,12.0,bass,SAR,7.36802,AM Contra - Heart Peripheral
109,13.0,bass,SAR,9.51744,AM Contra - Heart Peripheral
110,14.0,bass,SAR,4.27224,AM Contra - Heart Peripheral
111,15.0,bass,SAR,6.3337,AM Contra - Heart Peripheral
112,16.0,bass,SAR,4.17582,AM Contra - Heart Peripheral
113,17.0,bass,SAR,5.27539,AM Contra - Heart Peripheral
114,18.0,bass,SAR,11.74438,AM Contra - Heart Peripheral
115,19.0,bass,SAR,8.97279,AM Contra - Heart Peripheral
116,20.0,bass,SAR,11.91282,AM Contra - Heart Peripheral
117,21.0,bass,SAR,3.10067,AM Contra - Heart Peripheral
118,22.0,bass,SAR,10.9039,AM Contra - Heart Peripheral
119,23.0,bass,SAR,3.87358,AM Contra - Heart Peripheral
120,24.0,bass,SAR,4.09655,AM Contra - Heart Peripheral
121,25.0,bass,SAR,11.33806,AM Contra - Heart Peripheral
122,26.0,bass,SAR,11.17494,AM Contra - Heart Peripheral
123,27.0,bass,SAR,10.61434,AM Contra - Heart Peripheral
124,28.0,bass,SAR,5.11385,AM Contra - Heart Peripheral
125,29.0,bass,SAR,8.76194,AM Contra - Heart Peripheral
126,30.0,bass,SAR,4.37925,AM Contra - Heart Peripheral
127,31.0,bass,SAR,5.4613,AM Contra - Heart Peripheral
128,0.0,drums,ISR,8.48028,AM Contra - Heart Peripheral
129,1.0,drums,ISR,8.65596,AM Contra - Heart Peripheral
130,2.0,drums,ISR,8.53587,AM Contra - Heart Peripheral
131,3.0,drums,ISR,11.60666,AM Contra - Heart Peripheral
132,4.0,drums,ISR,12.2551,AM Contra - Heart Peripheral
133,5.0,drums,ISR,11.28396,AM Contra - Heart Peripheral
134,6.0,drums,ISR,11.30615,AM Contra - Heart Peripheral
135,7.0,drums,ISR,12.00817,AM Contra - Heart Peripheral
136,8.0,drums,ISR,11.74818,AM Contra - Heart Peripheral
137,9.0,drums,ISR,11.44073,AM Contra - Heart Peripheral
138,10.0,drums,ISR,11.58992,AM Contra - Heart Peripheral
139,11.0,drums,ISR,12.52334,AM Contra - Heart Peripheral
140,12.0,drums,ISR,11.59647,AM Contra - Heart Peripheral
141,13.0,drums,ISR,11.51266,AM Contra - Heart Peripheral
142,14.0,drums,ISR,11.88083,AM Contra - Heart Peripheral
143,15.0,drums,ISR,12.24618,AM Contra - Heart Peripheral
144,16.0,drums,ISR,11.87086,AM Contra - Heart Peripheral
145,17.0,drums,ISR,11.11001,AM Contra - Heart Peripheral
146,18.0,drums,ISR,11.94349,AM Contra - Heart Peripheral
147,19.0,drums,ISR,11.93316,AM Contra - Heart Peripheral
148,20.0,drums,ISR,11.66255,AM Contra - Heart Peripheral
149,21.0,drums,ISR,12.11437,AM Contra - Heart Peripheral
150,22.0,drums,ISR,12.04394,AM Contra - Heart Peripheral
151,23.0,drums,ISR,11.7296,AM Contra - Heart Peripheral
152,24.0,drums,ISR,11.93389,AM Contra - Heart Peripheral
153,25.0,drums,ISR,11.89165,AM Contra - Heart Peripheral
154,26.0,drums,ISR,12.11368,AM Contra - Heart Peripheral
155,27.0,drums,ISR,11.68553,AM Contra - Heart Peripheral
156,28.0,drums,ISR,12.15371,AM Contra - Heart Peripheral
157,29.0,drums,ISR,11.77974,AM Contra - Heart Peripheral
158,30.0,drums,ISR,11.93034,AM Contra - Heart Peripheral
159,31.0,drums,ISR,11.91785,AM Contra - Heart Peripheral
160,0.0,bass,ISR,8.48028,AM Contra - Heart Peripheral
161,1.0,bass,ISR,8.65596,AM Contra - Heart Peripheral
162,2.0,bass,ISR,8.53587,AM Contra - Heart Peripheral
163,3.0,bass,ISR,11.60666,AM Contra - Heart Peripheral
164,4.0,bass,ISR,12.2551,AM Contra - Heart Peripheral
165,5.0,bass,ISR,11.28396,AM Contra - Heart Peripheral
166,6.0,bass,ISR,11.30615,AM Contra - Heart Peripheral
167,7.0,bass,ISR,12.00817,AM Contra - Heart Peripheral
168,8.0,bass,ISR,11.74818,AM Contra - Heart Peripheral
169,9.0,bass,ISR,11.44073,AM Contra - Heart Peripheral
170,10.0,bass,ISR,11.58992,AM Contra - Heart Peripheral
171,11.0,bass,ISR,12.52334,AM Contra - Heart Peripheral
172,12.0,bass,ISR,11.59647,AM Contra - Heart Peripheral
173,13.0,bass,ISR,11.51266,AM Contra - Heart Peripheral
174,14.0,bass,ISR,11.88083,AM Contra - Heart Peripheral
175,15.0,bass,ISR,12.24618,AM Contra - Heart Peripheral
176,16.0,bass,ISR,11.87086,AM Contra - Heart Peripheral
177,17.0,bass,ISR,11.11001,AM Contra - Heart Peripheral
178,18.0,bass,ISR,11.94349,AM Contra - Heart Peripheral
179,19.0,bass,ISR,11.93316,AM Contra - Heart Peripheral
180,20.0,bass,ISR,11.66255,AM Contra - Heart Peripheral
181,21.0,bass,ISR,12.11437,AM Contra - Heart Peripheral
182,22.0,bass,ISR,12.04394,AM Contra - Heart Peripheral
183,23.0,bass,ISR,11.7296,AM Contra - Heart Peripheral
184,24.0,bass,ISR,11.93389,AM Contra - Heart Peripheral
185,25.0,bass,ISR,11.89165,AM Contra - Heart Peripheral
186,26.0,bass,ISR,12.11368,AM Contra - Heart Peripheral
187,27.0,bass,ISR,11.68553,AM Contra - Heart Peripheral
188,28.0,bass,ISR,12.15371,AM Contra - Heart Peripheral
189,29.0,bass,ISR,11.77974,AM Contra - Heart Peripheral
190,30.0,bass,ISR,11.93034,AM Contra - Heart Peripheral
191,31.0,bass,ISR,11.91785,AM Contra - Heart Peripheral
192,0.0,drums,SIR,176.98339,AM Contra - Heart Peripheral
193,1.0,drums,SIR,177.23017,AM Contra - Heart Peripheral
194,2.0,drums,SIR,177.1585,AM Contra - Heart Peripheral
195,3.0,drums,SIR,221.67495,AM Contra - Heart Peripheral
196,4.0,drums,SIR,224.00812,AM Contra - Heart Peripheral
197,5.0,drums,SIR,222.95508,AM Contra - Heart Peripheral
198,6.0,drums,SIR,222.42474,AM Contra - Heart Peripheral
199,7.0,drums,SIR,224.31906,AM Contra - Heart Peripheral
200,8.0,drums,SIR,225.56162,AM Contra - Heart Peripheral
201,9.0,drums,SIR,225.95094,AM Contra - Heart Peripheral
202,10.0,drums,SIR,221.72141,AM Contra - Heart Peripheral
203,11.0,drums,SIR,224.70099,AM Contra - Heart Peripheral
204,12.0,drums,SIR,222.94034,AM Contra - Heart Peripheral
205,13.0,drums,SIR,223.45282,AM Contra - Heart Peripheral
206,14.0,drums,SIR,221.98871,AM Contra - Heart Peripheral
207,15.0,drums,SIR,223.61358,AM Contra - Heart Peripheral
208,16.0,drums,SIR,226.92465,AM Contra - Heart Peripheral
209,17.0,drums,SIR,235.46139,AM Contra - Heart Peripheral
210,18.0,drums,SIR,241.37053,AM Contra - Heart Peripheral
211,19.0,drums,SIR,240.58116,AM Contra - Heart Peripheral
212,20.0,drums,SIR,243.32579,AM Contra - Heart Peripheral
213,21.0,drums,SIR,242.31175,AM Contra - Heart Peripheral
214,22.0,drums,SIR,242.92393,AM Contra - Heart Peripheral
