,time,target,metric,score,track
0,0.0,drums,SDR,-33.42348,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.95434,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.02588,AM Contra - Heart Peripheral
3,3.0,drums,SDR,8.82996,AM Contra - Heart Peripheral
4,4.0,drums,SDR,6.15812,AM Contra - Heart Peripheral
5,5.0,drums,SDR,5.63245,AM Contra - Heart Peripheral
6,6.0,drums,SDR,11.27594,AM Contra - Heart Peripheral
7,7.0,drums,SDR,6.52853,AM Contra - Heart Peripheral
8,8.0,drums,SDR,7.58989,AM Contra - Heart Peripheral
9,9.0,drums,SDR,6.04335,AM Contra - Heart Peripheral
10,10.0,drums,SDR,5.69411,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.5841,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.2202,AM Contra - Heart Peripheral
13,13.0,drums,SDR,8.64479,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.21364,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.63536,AM Contra - Heart Peripheral
16,16.0,drums,SDR,4.87775,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.01191,AM Contra - Heart Peripheral
18,18.0,drums,SDR,9.10203,AM Contra - Heart Peripheral
19,19.0,drums,SDR,9.16529,AM Contra - Heart Peripheral
20,20.0,drums,SDR,8.04155,AM Contra - Heart Peripheral
21,21.0,drums,SDR,5.64935,AM Contra - Heart Peripheral
22,22.0,drums,SDR,9.19141,AM Contra - Heart Peripheral
23,23.0,drums,SDR,6.0035,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.47592,AM Contra - Heart Peripheral
25,25.0,drums,SDR,4.67158,AM Contra - Heart Peripheral
26,26.0,drums,SDR,4.82699,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.75119,AM Contra - Heart Peripheral
28,28.0,drums,SDR,5.46274,AM Contra - Heart Peripheral
29,29.0,drums,SDR,7.73375,AM Contra - Heart Peripheral
30,30.0,drums,SDR,6.40921,AM Contra - Heart Peripheral
31,31.0,drums,SDR,7.01136,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-33.42348,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-20.95434,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-21.02588,AM Contra - Heart Peripheral
35,3.0,bass,SDR,8.82996,AM Contra - Heart Peripheral
36,4.0,bass,SDR,6.15812,AM Contra - Heart Peripheral
37,5.0,bass,SDR,5.63245,AM Contra - Heart Peripheral
38,6.0,bass,SDR,11.27594,AM Contra - Heart Peripheral
39,7.0,bass,SDR,6.52853,AM Contra - Heart Peripheral
40,8.0,bass,SDR,7.58989,AM Contra - Heart Peripheral
41,9.0,bass,SDR,6.04335,AM Contra - Heart Peripheral
42,10.0,bass,SDR,5.69411,AM Contra - Heart Peripheral
43,11.0,bass,SDR,8.5841,AM Contra - Heart Peripheral
44,12.0,bass,SDR,7.2202,AM Contra - Heart Peripheral
45,13.0,bass,SDR,8.64479,AM Contra - Heart Peripheral
46,14.0,bass,SDR,6.21364,AM Contra - Heart Peripheral
47,15.0,bass,SDR,8.63536,AM Contra - Heart Peripheral
48,16.0,bass,SDR,4.87775,AM Contra - Heart Peripheral
49,17.0,bass,SDR,5.01191,AM Contra - Heart Peripheral
50,18.0,bass,SDR,9.10203,AM Contra - Heart Peripheral
51,19.0,bass,SDR,9.16529,AM Contra - Heart Peripheral
52,20.0,bass,SDR,8.04155,AM Contra - Heart Peripheral
53,21.0,bass,SDR,5.64935,AM Contra - Heart Peripheral
54,22.0,bass,SDR,9.19141,AM Contra - Heart Peripheral
55,23.0,bass,SDR,6.0035,AM Contra - Heart Peripheral
56,24.0,bass,SDR,4.47592,AM Contra - Heart Peripheral
57,25.0,bass,SDR,4.67158,AM Contra - Heart Peripheral
58,26.0,bass,SDR,4.82699,AM Contra - Heart Peripheral
59,27.0,bass,SDR,4.75119,AM Contra - Heart Peripheral
60,28.0,bass,SDR,5.46274,AM Contra - Heart Peripheral
61,29.0,bass,SDR,7.73375,AM Contra - Heart Peripheral
62,30.0,bass,SDR,6.40921,AM Contra - Heart Peripheral
63,31.0,bass,SDR,7.01136,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-35.03727,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-22.5563,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-22.60121,AM Contra - Heart Peripheral
67,3.0,drums,SAR,5.06732,AM Contra - Heart Peripheral
68,4.0,drums,SAR,4.22398,AM Contra - Heart Peripheral
69,5.0,drums,SAR,3.61508,AM Contra - Heart Peripheral
70,6.0,drums,SAR,9.88404,AM Contra - Heart Peripheral
71,7.0,drums,SAR,4.37265,AM Contra - Heart Peripheral
72,8.0,drums,SAR,6.85977,AM Contra - Heart Peripheral
73,9.0,drums,SAR,4.23964,AM Contra - Heart Peripheral
74,10.0,drums,SAR,5.2391,AM Contra - Heart Peripheral
75,11.0,drums,SAR,8.92049,AM Contra - Heart Peripheral
76,12.0,drums,SAR,6.20065,AM Contra - Heart Peripheral
77,13.0,drums,SAR,8.32974,AM Contra - Heart Peripheral
78,14.0,drums,SAR,4.39257,AM Contra - Heart Peripheral
79,15.0,drums,SAR,6.51738,AM Contra - Heart Peripheral
80,16.0,drums,SAR,3.75868,AM Contra - Heart Peripheral
81,17.0,drums,SAR,4.82984,AM Contra - Heart Peripheral
82,18.0,drums,SAR,11.31927,AM Contra - Heart Peripheral
83,19.0,drums,SAR,11.62622,AM Contra - Heart Peripheral
84,20.0,drums,SAR,9.52926,AM Contra - Heart Peripheral
85,21.0,drums,SAR,4.30681,AM Contra - Heart Peripheral
86,22.0,drums,SAR,10.78132,AM Contra - Heart Peripheral
87,23.0,drums,SAR,5.17468,AM Contra - Heart Peripheral
88,24.0,drums,SAR,4.23081,AM Contra - Heart Peripheral
89,25.0,drums,SAR,5.4599,AM Contra - Heart Peripheral
90,26.0,drums,SAR,6.0422,AM Contra - Heart Peripheral
91,27.0,drums,SAR,5.96161,AM Contra - Heart Peripheral
92,28.0,drums,SAR,4.61977,AM Contra - Heart Peripheral
93,29.0,drums,SAR,8.9728,AM Contra - Heart Peripheral
94,30.0,drums,SAR,4.76729,AM Contra - Heart Peripheral
95,31.0,drums,SAR,6.46604,AM Contra - Heart Peripheral
96,0.0,bass,SAR,-35.03727,AM Contra - Heart Peripheral
97,1.0,bass,SAR,-22.5563,AM Contra - Heart Peripheral
98,2.0,bass,SAR,-22.60121,AM Contra - Heart Peripheral
99,3.0,bass,SAR,5.06732,AM Contra - Heart Peripheral
100,4.0,bass,SAR,4.22398,AM Contra - Heart Peripheral
101,5.0,bass,SAR,3.61508,AM Contra - Heart Peripheral
102,6.0,bass,SAR,9.88404,AM Contra - Heart Peripheral
103,7.0,bass,SAR,4.37265,AM Contra - Heart Peripheral
104,8.0,bass,SAR,6.85977,AM Contra - Heart Peripheral
105,9.0,bass,SAR,4.23964,AM Contra - Heart Peripheral
106,10.0,bass,SAR,5.2391,AM Contra - Heart Peripheral
