,time,target,metric,score,track
0,0.0,drums,SDR,-35.30182,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.61121,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-28.00416,AM Contra - Heart Peripheral
3,3.0,drums,SDR,8.59657,AM Contra - Heart Peripheral
4,4.0,drums,SDR,13.57786,AM Contra - Heart Peripheral
5,5.0,drums,SDR,9.78286,AM Contra - Heart Peripheral
6,6.0,drums,SDR,15.31233,AM Contra - Heart Peripheral
7,7.0,drums,SDR,11.63809,AM Contra - Heart Peripheral
8,8.0,drums,SDR,11.39212,AM Contra - Heart Peripheral
9,9.0,drums,SDR,10.40741,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.42963,AM Contra - Heart Peripheral
11,11.0,drums,SDR,9.35517,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.26661,AM Contra - Heart Peripheral
13,13.0,drums,SDR,14.22646,AM Contra - Heart Peripheral
14,14.0,drums,SDR,8.70073,AM Contra - Heart Peripheral
15,15.0,drums,SDR,9.72898,AM Contra - Heart Peripheral
16,16.0,drums,SDR,8.75815,AM Contra - Heart Peripheral
17,17.0,drums,SDR,8.23484,AM Contra - Heart Peripheral
18,18.0,drums,SDR,16.54356,AM Contra - Heart Peripheral
19,19.0,drums,SDR,17.41692,AM Contra - Heart Peripheral
20,20.0,drums,SDR,15.6723,AM Contra - Heart Peripheral
21,21.0,drums,SDR,9.62238,AM Contra - Heart Peripheral
22,22.0,drums,SDR,15.33234,AM Contra - Heart Peripheral
23,23.0,drums,SDR,10.22409,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.88814,AM Contra - Heart Peripheral
25,25.0,drums,SDR,16.23423,AM Contra - Heart Peripheral
26,26.0,drums,SDR,17.51795,AM Contra - Heart Peripheral
27,27.0,drums,SDR,17.54367,AM Contra - Heart Peripheral
28,28.0,drums,SDR,10.27859,AM Contra - Heart Peripheral
29,29.0,drums,SDR,13.18536,AM Contra - Heart Peripheral
30,30.0,drums,SDR,10.44853,AM Contra - Heart Peripheral
31,31.0,drums,SDR,9.49395,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-35.30182,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-20.61121,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-28.00416,AM Contra - Heart Peripheral
35,3.0,bass,SDR,8.59657,AM Contra - Heart Peripheral
36,4.0,bass,SDR,13.57786,AM Contra - Heart Peripheral
37,5.0,bass,SDR,9.78286,AM Contra - Heart Peripheral
