,time,target,metric,score,track
0,0.0,drums,SDR,-39.43753,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-14.41032,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-14.48655,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.81209,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.93615,AM Contra - Heart Peripheral
5,5.0,drums,SDR,9.58303,AM Contra - Heart Peripheral
6,6.0,drums,SDR,15.24879,AM Contra - Heart Peripheral
7,7.0,drums,SDR,11.87739,AM Contra - Heart Peripheral
8,8.0,drums,SDR,11.08471,AM Contra - Heart Peripheral
9,9.0,drums,SDR,8.65788,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.18307,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.25338,AM Contra - Heart Peripheral
12,12.0,drums,SDR,6.94135,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.56184,AM Contra - Heart Peripheral
14,14.0,drums,SDR,8.06481,AM Contra - Heart Peripheral
15,15.0,drums,SDR,9.01803,AM Contra - Heart Peripheral
16,16.0,drums,SDR,8.12432,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.78983,AM Contra - Heart Peripheral
18,18.0,drums,SDR,15.08194,AM Contra - Heart Peripheral
19,19.0,drums,SDR,17.19496,AM Contra - Heart Peripheral
20,20.0,drums,SDR,15.84048,AM Contra - Heart Peripheral
21,21.0,drums,SDR,8.78979,AM Contra - Heart Peripheral
22,22.0,drums,SDR,15.58698,AM Contra - Heart Peripheral
23,23.0,drums,SDR,10.57496,AM Contra - Heart Peripheral
24,24.0,drums,SDR,10.18178,AM Contra - Heart Peripheral
25,25.0,drums,SDR,17.27195,AM Contra - Heart Peripheral
26,26.0,drums,SDR,17.92946,AM Contra - Heart Peripheral
27,27.0,drums,SDR,15.97012,AM Contra - Heart Peripheral
28,28.0,drums,SDR,9.52303,AM Contra - Heart Peripheral
29,29.0,drums,SDR,13.59698,AM Contra - Heart Peripheral
30,30.0,drums,SDR,9.87211,AM Contra - Heart Peripheral
31,31.0,drums,SDR,9.52988,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-39.43753,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-14.41032,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-14.48655,AM Contra - Heart Peripheral
35,3.0,bass,SDR,9.81209,AM Contra - Heart Peripheral
36,4.0,bass,SDR,11.93615,AM Contra - Heart Peripheral
37,5.0,bass,SDR,9.58303,AM Contra - Heart Peripheral
38,6.0,bass,SDR,15.24879,AM Contra - Heart Peripheral
39,7.0,bass,SDR,11.87739,AM Contra - Heart Peripheral
40,8.0,bass,SDR,11.08471,AM Contra - Heart Peripheral
41,9.0,bass,SDR,8.65788,AM Contra - Heart Peripheral
42,10.0,bass,SDR,8.18307,AM Contra - Heart Peripheral
43,11.0,bass,SDR,8.25338,AM Contra - Heart Peripheral
44,12.0,bass,SDR,6.94135,AM Contra - Heart Peripheral
45,13.0,bass,SDR,11.56184,AM Contra - Heart Peripheral
46,14.0,bass,SDR,8.06481,AM Contra - Heart Peripheral
47,15.0,bass,SDR,9.01803,AM Contra - Heart Peripheral
48,16.0,bass,SDR,8.12432,AM Contra - Heart Peripheral
49,17.0,bass,SDR,9.78983,AM Contra - Heart Peripheral
50,18.0,bass,SDR,15.08194,AM Contra - Heart Peripheral
51,19.0,bass,SDR,17.19496,AM Contra - Heart Peripheral
52,20.0,bass,SDR,15.84048,AM Contra - Heart Peripheral
53,21.0,bass,SDR,8.78979,AM Contra - Heart Peripheral
54,22.0,bass,SDR,15.58698,AM Contra - Heart Peripheral
55,23.0,bass,SDR,10.57496,AM Contra - Heart Peripheral
56,24.0,bass,SDR,10.18178,AM Contra - Heart Peripheral
57,25.0,bass,SDR,17.27195,AM Contra - Heart Peripheral
58,26.0,bass,SDR,17.92946,AM Contra - Heart Peripheral
59,27.0,bass,SDR,15.97012,AM Contra - Heart Peripheral
60,28.0,bass,SDR,9.52303,AM Contra - Heart Peripheral
61,29.0,bass,SDR,13.59698,AM Contra - Heart Peripheral
62,30.0,bass,SDR,9.87211,AM Contra - Heart Peripheral
63,31.0,bass,SDR,9.52988,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-38.65887,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-13.84278,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-13.83526,AM Contra - Heart Peripheral
67,3.0,drums,SAR,9.51158,AM Contra - Heart Peripheral
68,4.0,drums,SAR,11.64616,AM Contra - Heart Peripheral
69,5.0,drums,SAR,9.40296,AM Contra - Heart Peripheral
70,6.0,drums,SAR,13.99005,AM Contra - Heart Peripheral
71,7.0,drums,SAR,11.60949,AM Contra - Heart Peripheral
72,8.0,drums,SAR,11.04115,AM Contra - Heart Peripheral
73,9.0,drums,SAR,8.29802,AM Contra - Heart Peripheral
74,10.0,drums,SAR,9.21548,AM Contra - Heart Peripheral
75,11.0,drums,SAR,9.80153,AM Contra - Heart Peripheral
76,12.0,drums,SAR,7.54268,AM Contra - Heart Peripheral
77,13.0,drums,SAR,12.21308,AM Contra - Heart Peripheral
78,14.0,drums,SAR,9.60777,AM Contra - Heart Peripheral
