,time,target,metric,score,track
0,0.0,drums,SDR,-26.50756,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-26.6582,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-26.73019,AM Contra - Heart Peripheral
3,3.0,drums,SDR,10.23842,AM Contra - Heart Peripheral
4,4.0,drums,SDR,9.5918,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.56257,AM Contra - Heart Peripheral
6,6.0,drums,SDR,13.32348,AM Contra - Heart Peripheral
7,7.0,drums,SDR,9.05191,AM Contra - Heart Peripheral
8,8.0,drums,SDR,8.32025,AM Contra - Heart Peripheral
9,9.0,drums,SDR,9.90478,AM Contra - Heart Peripheral
10,10.0,drums,SDR,6.57364,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.26559,AM Contra - Heart Peripheral
12,12.0,drums,SDR,5.83093,AM Contra - Heart Peripheral
13,13.0,drums,SDR,12.42457,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.94579,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.49156,AM Contra - Heart Peripheral
16,16.0,drums,SDR,8.6794,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.87916,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.45458,AM Contra - Heart Peripheral
19,19.0,drums,SDR,16.05394,AM Contra - Heart Peripheral
20,20.0,drums,SDR,13.10789,AM Contra - Heart Peripheral
21,21.0,drums,SDR,6.70268,AM Contra - Heart Peripheral
22,22.0,drums,SDR,9.70713,AM Contra - Heart Peripheral
23,23.0,drums,SDR,8.07061,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.51342,AM Contra - Heart Peripheral
25,25.0,drums,SDR,12.60958,AM Contra - Heart Peripheral
26,26.0,drums,SDR,14.09428,AM Contra - Heart Peripheral
27,27.0,drums,SDR,14.63497,AM Contra - Heart Peripheral
28,28.0,drums,SDR,9.55044,AM Contra - Heart Peripheral
29,29.0,drums,SDR,11.85233,AM Contra - Heart Peripheral
30,30.0,drums,SDR,10.0801,AM Contra - Heart Peripheral
31,31.0,drums,SDR,6.82734,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-26.50756,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-26.6582,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-26.73019,AM Contra - Heart Peripheral
35,3.0,bass,SDR,10.23842,AM Contra - Heart Peripheral
36,4.0,bass,SDR,9.5918,AM Contra - Heart Peripheral
37,5.0,bass,SDR,7.56257,AM Contra - Heart Peripheral
38,6.0,bass,SDR,13.32348,AM Contra - Heart Peripheral
39,7.0,bass,SDR,9.05191,AM Contra - Heart Peripheral
40,8.0,bass,SDR,8.32025,AM Contra - Heart Peripheral
41,9.0,bass,SDR,9.90478,AM Contra - Heart Peripheral
42,10.0,bass,SDR,6.57364,AM Contra - Heart Peripheral
43,11.0,bass,SDR,8.26559,AM Contra - Heart Peripheral
44,12.0,bass,SDR,5.83093,AM Contra - Heart Peripheral
45,13.0,bass,SDR,12.42457,AM Contra - Heart Peripheral
46,14.0,bass,SDR,6.94579,AM Contra - Heart Peripheral
47,15.0,bass,SDR,8.49156,AM Contra - Heart Peripheral
48,16.0,bass,SDR,8.6794,AM Contra - Heart Peripheral
49,17.0,bass,SDR,9.87916,AM Contra - Heart Peripheral
50,18.0,bass,SDR,14.45458,AM Contra - Heart Peripheral
51,19.0,bass,SDR,16.05394,AM Contra - Heart Peripheral
52,20.0,bass,SDR,13.10789,AM Contra - Heart Peripheral
53,21.0,bass,SDR,6.70268,AM Contra - Heart Peripheral
54,22.0,bass,SDR,9.70713,AM Contra - Heart Peripheral
55,23.0,bass,SDR,8.07061,AM Contra - Heart Peripheral
56,24.0,bass,SDR,9.51342,AM Contra - Heart Peripheral
57,25.0,bass,SDR,12.60958,AM Contra - Heart Peripheral
58,26.0,bass,SDR,14.09428,AM Contra - Heart Peripheral
59,27.0,bass,SDR,14.63497,AM Contra - Heart Peripheral
60,28.0,bass,SDR,9.55044,AM Contra - Heart Peripheral
61,29.0,bass,SDR,11.85233,AM Contra - Heart Peripheral
62,30.0,bass,SDR,10.0801,AM Contra - Heart Peripheral
63,31.0,bass,SDR,6.82734,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-28.71156,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-28.95362,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-28.97195,AM Contra - Heart Peripheral
67,3.0,drums,SAR,9.40148,AM Contra - Heart Peripheral
68,4.0,drums,SAR,10.14986,AM Contra - Heart Peripheral
69,5.0,drums,SAR,7.66273,AM Contra - Heart Peripheral
70,6.0,drums,SAR,13.14386,AM Contra - Heart Peripheral
71,7.0,drums,SAR,9.28891,AM Contra - Heart Peripheral
72,8.0,drums,SAR,8.04352,AM Contra - Heart Peripheral
73,9.0,drums,SAR,8.82127,AM Contra - Heart Peripheral
74,10.0,drums,SAR,7.09808,AM Contra - Heart Peripheral
75,11.0,drums,SAR,9.09908,AM Contra - Heart Peripheral
76,12.0,drums,SAR,6.19264,AM Contra - Heart Peripheral
77,13.0,drums,SAR,12.37689,AM Contra - Heart Peripheral
78,14.0,drums,SAR,7.90617,AM Contra - Heart Peripheral
79,15.0,drums,SAR,9.64271,AM Contra - Heart Peripheral
80,16.0,drums,SAR,8.93139,AM Contra - Heart Peripheral
81,17.0,drums,SAR,10.49213,AM Contra - Heart Peripheral
82,18.0,drums,SAR,14.16554,AM Contra - Heart Peripheral
83,19.0,drums,SAR,14.82489,AM Contra - Heart Peripheral
84,20.0,drums,SAR,13.02175,AM Contra - Heart Peripheral
85,21.0,drums,SAR,6.46621,AM Contra - Heart Peripheral
86,22.0,drums,SAR,10.75578,AM Contra - Heart Peripheral
87,23.0,drums,SAR,8.15435,AM Contra - Heart Peripheral
88,24.0,drums,SAR,9.77399,AM Contra - Heart Peripheral
89,25.0,drums,SAR,14.88733,AM Contra - Heart Peripheral
90,26.0,drums,SAR,15.36853,AM Contra - Heart Peripheral
91,27.0,drums,SAR,15.09559,AM Contra - Heart Peripheral
92,28.0,drums,SAR,8.8191,AM Contra - Heart Peripheral
93,29.0,drums,SAR,12.89356,AM Contra - Heart Peripheral
94,30.0,drums,SAR,9.02662,AM Contra - Heart Peripheral
95,31.0,drums,SAR,7.03191,AM Contra - Heart Peripheral
96,0.0,bass,SAR,-28.71156,AM Contra - Heart Peripheral
97,1.0,bass,SAR,-28.95362,AM Contra - Heart Peripheral
98,2.0,bass,SAR,-28.97195,AM Contra - Heart Peripheral
99,3.0,bass,SAR,9.40148,AM Contra - Heart Peripheral
100,4.0,bass,SAR,10.14986,AM Contra - Heart Peripheral
101,5.0,bass,SAR,7.66273,AM Contra - Heart Peripheral
102,6.0,bass,SAR,13.14386,AM Contra - Heart Peripheral
103,7.0,bass,SAR,9.28891,AM Contra - Heart Peripheral
104,8.0,bass,SAR,8.04352,AM Contra - Heart Peripheral
105,9.0,bass,SAR,8.82127,AM Contra - Heart Peripheral
106,10.0,bass,SAR,7.09808,AM Contra - Heart Peripheral
