,time,target,metric,score,track
0,0.0,drums,SDR,-22.33087,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-21.9016,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.961,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.9623,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.36775,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.92205,AM Contra - Heart Peripheral
6,6.0,drums,SDR,14.78678,AM Contra - Heart Peripheral
7,7.0,drums,SDR,8.09519,AM Contra - Heart Peripheral
8,8.0,drums,SDR,9.61785,AM Contra - Heart Peripheral
9,9.0,drums,SDR,9.00926,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.04114,AM Contra - Heart Peripheral
11,11.0,drums,SDR,9.06049,AM Contra - Heart Peripheral
12,12.0,drums,SDR,6.98794,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.25228,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.78373,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.99034,AM Contra - Heart Peripheral
16,16.0,drums,SDR,7.16284,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.63188,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.99375,AM Contra - Heart Peripheral
19,19.0,drums,SDR,15.4795,AM Contra - Heart Peripheral
20,20.0,drums,SDR,12.94446,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.35808,AM Contra - Heart Peripheral
22,22.0,drums,SDR,10.23385,AM Contra - Heart Peripheral
23,23.0,drums,SDR,7.38644,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.15321,AM Contra - Heart Peripheral
25,25.0,drums,SDR,13.77214,AM Contra - Heart Peripheral
26,26.0,drums,SDR,14.34627,AM Contra - Heart Peripheral
27,27.0,drums,SDR,15.28993,AM Contra - Heart Peripheral
28,28.0,drums,SDR,7.37873,AM Contra - Heart Peripheral
29,29.0,drums,SDR,12.54856,AM Contra - Heart Peripheral
30,30.0,drums,SDR,8.49918,AM Contra - Heart Peripheral
31,31.0,drums,SDR,7.1736,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-22.33087,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-21.9016,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-21.961,AM Contra - Heart Peripheral
35,3.0,bass,SDR,9.9623,AM Contra - Heart Peripheral
36,4.0,bass,SDR,11.36775,AM Contra - Heart Peripheral
37,5.0,bass,SDR,7.92205,AM Contra - Heart Peripheral
38,6.0,bass,SDR,14.78678,AM Contra - Heart Peripheral
39,7.0,bass,SDR,8.09519,AM Contra - Heart Peripheral
40,8.0,bass,SDR,9.61785,AM Contra - Heart Peripheral
41,9.0,bass,SDR,9.00926,AM Contra - Heart Peripheral
