,time,target,metric,score,track
0,0.0,drums,SDR,-29.96579,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-21.24826,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.318,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.96847,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.86291,AM Contra - Heart Peripheral
5,5.0,drums,SDR,8.24692,AM Contra - Heart Peripheral
6,6.0,drums,SDR,15.12995,AM Contra - Heart Peripheral
7,7.0,drums,SDR,8.99115,AM Contra - Heart Peripheral
8,8.0,drums,SDR,10.56224,AM Contra - Heart Peripheral
9,9.0,drums,SDR,8.89313,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.732,AM Contra - Heart Peripheral
11,11.0,drums,SDR,9.47743,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.65633,AM Contra - Heart Peripheral
13,13.0,drums,SDR,13.4441,AM Contra - Heart Peripheral
14,14.0,drums,SDR,8.05051,AM Contra - Heart Peripheral
15,15.0,drums,SDR,10.69844,AM Contra - Heart Peripheral
16,16.0,drums,SDR,7.48394,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.58789,AM Contra - Heart Peripheral
18,18.0,drums,SDR,15.77534,AM Contra - Heart Peripheral
19,19.0,drums,SDR,14.75875,AM Contra - Heart Peripheral
20,20.0,drums,SDR,13.74132,AM Contra - Heart Peripheral
21,21.0,drums,SDR,7.93284,AM Contra - Heart Peripheral
22,22.0,drums,SDR,11.89602,AM Contra - Heart Peripheral
23,23.0,drums,SDR,7.91815,AM Contra - Heart Peripheral
24,24.0,drums,SDR,8.60715,AM Contra - Heart Peripheral
25,25.0,drums,SDR,14.64844,AM Contra - Heart Peripheral
26,26.0,drums,SDR,15.64002,AM Contra - Heart Peripheral
27,27.0,drums,SDR,16.68166,AM Contra - Heart Peripheral
28,28.0,drums,SDR,7.66994,AM Contra - Heart Peripheral
29,29.0,drums,SDR,12.84995,AM Contra - Heart Peripheral
30,30.0,drums,SDR,9.54772,AM Contra - Heart Peripheral
31,31.0,drums,SDR,8.21238,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-29.96579,AM Contra - Heart Peripheral
33,1.0,bass,SDR,-21.24826,AM Contra - Heart Peripheral
34,2.0,bass,SDR,-21.318,AM Contra - Heart Peripheral
35,3.0,bass,SDR,9.96847,AM Contra - Heart Peripheral
36,4.0,bass,SDR,11.86291,AM Contra - Heart Peripheral
37,5.0,bass,SDR,8.24692,AM Contra - Heart Peripheral
38,6.0,bass,SDR,15.12995,AM Contra - Heart Peripheral
39,7.0,bass,SDR,8.99115,AM Contra - Heart Peripheral
40,8.0,bass,SDR,10.56224,AM Contra - Heart Peripheral
41,9.0,bass,SDR,8.89313,AM Contra - Heart Peripheral
42,10.0,bass,SDR,8.732,AM Contra - Heart Peripheral
43,11.0,bass,SDR,9.47743,AM Contra - Heart Peripheral
44,12.0,bass,SDR,7.65633,AM Contra - Heart Peripheral
45,13.0,bass,SDR,13.4441,AM Contra - Heart Peripheral
46,14.0,bass,SDR,8.05051,AM Contra - Heart Peripheral
47,15.0,bass,SDR,10.69844,AM Contra - Heart Peripheral
48,16.0,bass,SDR,7.48394,AM Contra - Heart Peripheral
49,17.0,bass,SDR,9.58789,AM Contra - Heart Peripheral
50,18.0,bass,SDR,15.77534,AM Contra - Heart Peripheral
51,19.0,bass,SDR,14.75875,AM Contra - Heart Peripheral
52,20.0,bass,SDR,13.74132,AM Contra - Heart Peripheral
53,21.0,bass,SDR,7.93284,AM Contra - Heart Peripheral
54,22.0,bass,SDR,11.89602,AM Contra - Heart Peripheral
55,23.0,bass,SDR,7.91815,AM Contra - Heart Peripheral
56,24.0,bass,SDR,8.60715,AM Contra - Heart Peripheral
57,25.0,bass,SDR,14.64844,AM Contra - Heart Peripheral
58,26.0,bass,SDR,15.64002,AM Contra - Heart Peripheral
59,27.0,bass,SDR,16.68166,AM Contra - Heart Peripheral
60,28.0,bass,SDR,7.66994,AM Contra - Heart Peripheral
61,29.0,bass,SDR,12.84995,AM Contra - Heart Peripheral
62,30.0,bass,SDR,9.54772,AM Contra - Heart Peripheral
63,31.0,bass,SDR,8.21238,AM Contra - Heart Peripheral
64,0.0,drums,SAR,-31.27228,AM Contra - Heart Peripheral
65,1.0,drums,SAR,-22.63188,AM Contra - Heart Peripheral
66,2.0,drums,SAR,-22.70927,AM Contra - Heart Peripheral
67,3.0,drums,SAR,9.21762,AM Contra - Heart Peripheral
68,4.0,drums,SAR,11.65875,AM Contra - Heart Peripheral
69,5.0,drums,SAR,7.48505,AM Contra - Heart Peripheral
70,6.0,drums,SAR,15.86031,AM Contra - Heart Peripheral
71,7.0,drums,SAR,8.7504,AM Contra - Heart Peripheral
72,8.0,drums,SAR,10.35848,AM Contra - Heart Peripheral
73,9.0,drums,SAR,8.24308,AM Contra - Heart Peripheral
74,10.0,drums,SAR,8.77262,AM Contra - Heart Peripheral
75,11.0,drums,SAR,9.75122,AM Contra - Heart Peripheral
76,12.0,drums,SAR,7.10207,AM Contra - Heart Peripheral
77,13.0,drums,SAR,13.61879,AM Contra - Heart Peripheral
78,14.0,drums,SAR,7.48754,AM Contra - Heart Peripheral
79,15.0,drums,SAR,9.92279,AM Contra - Heart Peripheral
80,16.0,drums,SAR,7.26021,AM Contra - Heart Peripheral
81,17.0,drums,SAR,8.98741,AM Contra - Heart Peripheral
82,18.0,drums,SAR,15.45583,AM Contra - Heart Peripheral
83,19.0,drums,SAR,14.52021,AM Contra - Heart Peripheral
84,20.0,drums,SAR,13.62668,AM Contra - Heart Peripheral
85,21.0,drums,SAR,7.73424,AM Contra - Heart Peripheral
86,22.0,drums,SAR,12.07179,AM Contra - Heart Peripheral
87,23.0,drums,SAR,7.61309,AM Contra - Heart Peripheral
88,24.0,drums,SAR,7.85215,AM Contra - Heart Peripheral
89,25.0,drums,SAR,13.92779,AM Contra - Heart Peripheral
90,26.0,drums,SAR,14.78023,AM Contra - Heart Peripheral
