,time,target,metric,score,track
0,0.0,drums,SDR,-29.34294,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.79171,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-20.86266,AM Contra - Heart Peripheral
3,3.0,drums,SDR,10.06932,AM Contra - Heart Peripheral
4,4.0,drums,SDR,8.66873,AM Contra - Heart Peripheral
5,5.0,drums,SDR,8.47161,AM Contra - Heart Peripheral
6,6.0,drums,SDR,11.78086,AM Contra - Heart Peripheral
7,7.0,drums,SDR,9.85034,AM Contra - Heart Peripheral
8,8.0,drums,SDR,8.98857,AM Contra - Heart Peripheral
9,9.0,drums,SDR,9.12312,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.10925,AM Contra - Heart Peripheral
11,11.0,drums,SDR,7.83025,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.61398,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.18966,AM Contra - Heart Peripheral
14,14.0,drums,SDR,8.25446,AM Contra - Heart Peripheral
15,15.0,drums,SDR,10.31642,AM Contra - Heart Peripheral
16,16.0,drums,SDR,7.50359,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.48957,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.5633,AM Contra - Heart Peripheral
19,19.0,drums,SDR,14.47517,AM Contra - Heart Peripheral
20,20.0,drums,SDR,13.76207,AM Contra - Heart Peripheral
21,21.0,drums,SDR,7.46548,AM Contra - Heart Peripheral
22,22.0,drums,SDR,10.77332,AM Contra - Heart Peripheral
23,23.0,drums,SDR,8.73739,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.87019,AM Contra - Heart Peripheral
25,25.0,drums,SDR,14.59655,AM Contra - Heart Peripheral
26,26.0,drums,SDR,15.29559,AM Contra - Heart Peripheral
27,27.0,drums,SDR,15.99259,AM Contra - Heart Peripheral
28,28.0,drums,SDR,7.07899,AM Contra - Heart Peripheral
29,29.0,drums,SDR,12.65252,AM Contra - Heart Peripheral
30,30.0,drums,SDR,8.68068,AM Contra - Heart Peripheral
31,31.0,drums,SDR,8.01322,AM Contra - Heart Peripheral
32,0.0,bass,SDR,-29.34294,AM Contra - Heart Peripheral
