,time,target,metric,score,track
0,0.0,drums,SDR,-1.3339,MusicDelta_80sRock
1,1.0,drums,SDR,-1.5017,MusicDelta_80sRock
2,2.0,drums,SDR,-1.45039,MusicDelta_80sRock
3,3.0,drums,SDR,-1.37085,MusicDelta_80sRock
4,4.0,drums,SDR,-1.55842,MusicDelta_80sRock
5,5.0,drums,SDR,-1.39422,MusicDelta_80sRock
6,6.0,drums,SDR,-1.35536,MusicDelta_80sRock
7,7.0,drums,SDR,-1.37192,MusicDelta_80sRock
8,8.0,drums,SDR,-1.38427,MusicDelta_80sRock
9,9.0,drums,SDR,-1.22333,MusicDelta_80sRock
10,10.0,drums,SDR,-1.46338,MusicDelta_80sRock
11,11.0,drums,SDR,-1.33696,MusicDelta_80sRock
12,12.0,drums,SDR,-1.50696,MusicDelta_80sRock
13,13.0,drums,SDR,-1.49702,MusicDelta_80sRock
14,14.0,drums,SDR,-1.57531,MusicDelta_80sRock
15,15.0,drums,SDR,-1.48571,MusicDelta_80sRock
16,16.0,drums,SDR,-1.59928,MusicDelta_80sRock
17,17.0,drums,SDR,-1.20433,MusicDelta_80sRock
18,18.0,drums,SDR,-1.53965,MusicDelta_80sRock
19,19.0,drums,SDR,-1.6055,MusicDelta_80sRock
20,20.0,drums,SDR,-1.41628,MusicDelta_80sRock
21,21.0,drums,SDR,-1.47757,MusicDelta_80sRock
22,22.0,drums,SDR,-1.35224,MusicDelta_80sRock
23,23.0,drums,SDR,-1.47638,MusicDelta_80sRock
24,24.0,drums,SDR,-1.51877,MusicDelta_80sRock
25,25.0,drums,SDR,-1.3931,MusicDelta_80sRock
26,26.0,drums,SDR,-1.51195,MusicDelta_80sRock
27,27.0,drums,SDR,-1.4482,MusicDelta_80sRock
28,28.0,drums,SDR,-1.69432,MusicDelta_80sRock
29,29.0,drums,SDR,-1.59662,MusicDelta_80sRock
30,30.0,drums,SDR,-1.4897,MusicDelta_80sRock
31,31.0,drums,SDR,-1.51283,MusicDelta_80sRock
32,32.0,drums,SDR,-1.54559,MusicDelta_80sRock
33,33.0,drums,SDR,-1.44878,MusicDelta_80sRock
34,34.0,drums,SDR,-1.30501,MusicDelta_80sRock
35,35.0,drums,SDR,-20.21752,MusicDelta_80sRock
36,0.0,bass,SDR,-1.5453,MusicDelta_80sRock
37,1.0,bass,SDR,-1.71909,MusicDelta_80sRock
38,2.0,bass,SDR,-1.67752,MusicDelta_80sRock
39,3.0,bass,SDR,-1.59522,MusicDelta_80sRock
40,4.0,bass,SDR,-1.77897,MusicDelta_80sRock
41,5.0,bass,SDR,-1.6309,MusicDelta_80sRock
42,6.0,bass,SDR,-1.57496,MusicDelta_80sRock
43,7.0,bass,SDR,-1.59627,MusicDelta_80sRock
44,8.0,bass,SDR,-1.59083,MusicDelta_80sRock
