,time,target,metric,score,track
0,0.0,drums,SDR,-20.73662,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.92652,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-20.99824,AM Contra - Heart Peripheral
3,3.0,drums,SDR,7.78651,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.65359,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.71369,AM Contra - Heart Peripheral
6,6.0,drums,SDR,7.60922,AM Contra - Heart Peripheral
7,7.0,drums,SDR,5.33034,AM Contra - Heart Peripheral
8,8.0,drums,SDR,6.37678,AM Contra - Heart Peripheral
9,9.0,drums,SDR,5.68756,AM Contra - Heart Peripheral
10,10.0,drums,SDR,4.92954,AM Contra - Heart Peripheral
11,11.0,drums,SDR,5.34911,AM Contra - Heart Peripheral
12,12.0,drums,SDR,5.03013,AM Contra - Heart Peripheral
13,13.0,drums,SDR,7.09965,AM Contra - Heart Peripheral
14,14.0,drums,SDR,5.71433,AM Contra - Heart Peripheral
15,15.0,drums,SDR,5.36509,AM Contra - Heart Peripheral
16,16.0,drums,SDR,3.5549,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.47572,AM Contra - Heart Peripheral
18,18.0,drums,SDR,5.53993,AM Contra - Heart Peripheral
19,19.0,drums,SDR,4.16373,AM Contra - Heart Peripheral
20,20.0,drums,SDR,5.37676,AM Contra - Heart Peripheral
21,21.0,drums,SDR,3.08963,AM Contra - Heart Peripheral
22,22.0,drums,SDR,5.98181,AM Contra - Heart Peripheral
23,23.0,drums,SDR,5.25694,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.9676,AM Contra - Heart Peripheral
25,25.0,drums,SDR,4.81656,AM Contra - Heart Peripheral
26,26.0,drums,SDR,4.24663,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.55231,AM Contra - Heart Peripheral
28,28.0,drums,SDR,3.81137,AM Contra - Heart Peripheral
29,29.0,drums,SDR,4.64566,AM Contra - Heart Peripheral
30,30.0,drums,SDR,3.35857,AM Contra - Heart Peripheral
31,31.0,drums,SDR,5.45775,AM Contra - Heart Peripheral
32,32.0,drums,SDR,6.36768,AM Contra - Heart Peripheral
33,33.0,drums,SDR,7.32655,AM Contra - Heart Peripheral
34,34.0,drums,SDR,8.09466,AM Contra - Heart Peripheral
35,35.0,drums,SDR,6.35326,AM Contra - Heart Peripheral
36,36.0,drums,SDR,5.74572,AM Contra - Heart Peripheral
37,37.0,drums,SDR,6.02929,AM Contra - Heart Peripheral
38,38.0,drums,SDR,5.47789,AM Contra - Heart Peripheral
39,39.0,drums,SDR,4.98315,AM Contra - Heart Peripheral
40,40.0,drums,SDR,6.73857,AM Contra - Heart Peripheral
41,41.0,drums,SDR,7.69296,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.39198,AM Contra - Heart Peripheral
43,43.0,drums,SDR,5.16358,AM Contra - Heart Peripheral
44,44.0,drums,SDR,5.73327,AM Contra - Heart Peripheral
45,45.0,drums,SDR,4.58293,AM Contra - Heart Peripheral
46,46.0,drums,SDR,3.40208,AM Contra - Heart Peripheral
47,47.0,drums,SDR,2.36792,AM Contra - Heart Peripheral
48,48.0,drums,SDR,2.63575,AM Contra - Heart Peripheral
