,time,target,metric,score,track
0,0.0,drums,SDR,-44.32048,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-37.19195,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-45.23451,AM Contra - Heart Peripheral
3,3.0,drums,SDR,6.42423,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.96649,AM Contra - Heart Peripheral
5,5.0,drums,SDR,6.79111,AM Contra - Heart Peripheral
6,6.0,drums,SDR,7.93549,AM Contra - Heart Peripheral
7,7.0,drums,SDR,5.06286,AM Contra - Heart Peripheral
8,8.0,drums,SDR,7.15013,AM Contra - Heart Peripheral
9,9.0,drums,SDR,4.25144,AM Contra - Heart Peripheral
10,10.0,drums,SDR,5.25059,AM Contra - Heart Peripheral
11,11.0,drums,SDR,6.82319,AM Contra - Heart Peripheral
12,12.0,drums,SDR,5.00337,AM Contra - Heart Peripheral
13,13.0,drums,SDR,6.82259,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.16511,AM Contra - Heart Peripheral
15,15.0,drums,SDR,6.46529,AM Contra - Heart Peripheral
16,16.0,drums,SDR,4.11717,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.46575,AM Contra - Heart Peripheral
18,18.0,drums,SDR,7.09624,AM Contra - Heart Peripheral
19,19.0,drums,SDR,5.50646,AM Contra - Heart Peripheral
20,20.0,drums,SDR,7.24947,AM Contra - Heart Peripheral
21,21.0,drums,SDR,3.74123,AM Contra - Heart Peripheral
22,22.0,drums,SDR,7.68442,AM Contra - Heart Peripheral
23,23.0,drums,SDR,5.10172,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.71641,AM Contra - Heart Peripheral
25,25.0,drums,SDR,5.20883,AM Contra - Heart Peripheral
26,26.0,drums,SDR,4.92363,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.99958,AM Contra - Heart Peripheral
28,28.0,drums,SDR,4.17515,AM Contra - Heart Peripheral
29,29.0,drums,SDR,6.80097,AM Contra - Heart Peripheral
30,30.0,drums,SDR,3.05201,AM Contra - Heart Peripheral
31,31.0,drums,SDR,5.16078,AM Contra - Heart Peripheral
32,32.0,drums,SDR,5.54934,AM Contra - Heart Peripheral
33,33.0,drums,SDR,7.28155,AM Contra - Heart Peripheral
34,34.0,drums,SDR,7.24847,AM Contra - Heart Peripheral
35,35.0,drums,SDR,6.37362,AM Contra - Heart Peripheral
36,36.0,drums,SDR,5.77615,AM Contra - Heart Peripheral
37,37.0,drums,SDR,5.43575,AM Contra - Heart Peripheral
38,38.0,drums,SDR,4.57756,AM Contra - Heart Peripheral
39,39.0,drums,SDR,5.37268,AM Contra - Heart Peripheral
40,40.0,drums,SDR,6.60066,AM Contra - Heart Peripheral
41,41.0,drums,SDR,7.27044,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.84402,AM Contra - Heart Peripheral
43,43.0,drums,SDR,6.02435,AM Contra - Heart Peripheral
44,44.0,drums,SDR,5.54259,AM Contra - Heart Peripheral
