,time,target,metric,score,track
0,0.0,drums,SDR,-20.76676,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.95855,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.03037,AM Contra - Heart Peripheral
3,3.0,drums,SDR,8.08652,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.2455,AM Contra - Heart Peripheral
5,5.0,drums,SDR,6.24484,AM Contra - Heart Peripheral
6,6.0,drums,SDR,6.4443,AM Contra - Heart Peripheral
7,7.0,drums,SDR,4.25339,AM Contra - Heart Peripheral
8,8.0,drums,SDR,4.37833,AM Contra - Heart Peripheral
9,9.0,drums,SDR,4.15717,AM Contra - Heart Peripheral
10,10.0,drums,SDR,4.57877,AM Contra - Heart Peripheral
11,11.0,drums,SDR,4.00976,AM Contra - Heart Peripheral
12,12.0,drums,SDR,4.71338,AM Contra - Heart Peripheral
13,13.0,drums,SDR,4.89224,AM Contra - Heart Peripheral
14,14.0,drums,SDR,4.46626,AM Contra - Heart Peripheral
15,15.0,drums,SDR,3.63325,AM Contra - Heart Peripheral
16,16.0,drums,SDR,3.09321,AM Contra - Heart Peripheral
17,17.0,drums,SDR,5.76755,AM Contra - Heart Peripheral
18,18.0,drums,SDR,4.9645,AM Contra - Heart Peripheral
19,19.0,drums,SDR,3.89189,AM Contra - Heart Peripheral
20,20.0,drums,SDR,4.23361,AM Contra - Heart Peripheral
21,21.0,drums,SDR,1.98053,AM Contra - Heart Peripheral
22,22.0,drums,SDR,4.68074,AM Contra - Heart Peripheral
23,23.0,drums,SDR,4.48713,AM Contra - Heart Peripheral
24,24.0,drums,SDR,4.43623,AM Contra - Heart Peripheral
25,25.0,drums,SDR,4.20683,AM Contra - Heart Peripheral
26,26.0,drums,SDR,3.97092,AM Contra - Heart Peripheral
27,27.0,drums,SDR,4.15818,AM Contra - Heart Peripheral
28,28.0,drums,SDR,4.12637,AM Contra - Heart Peripheral
29,29.0,drums,SDR,4.16694,AM Contra - Heart Peripheral
30,30.0,drums,SDR,3.65489,AM Contra - Heart Peripheral
31,31.0,drums,SDR,4.7146,AM Contra - Heart Peripheral
32,32.0,drums,SDR,3.54976,AM Contra - Heart Peripheral
33,33.0,drums,SDR,5.10452,AM Contra - Heart Peripheral
34,34.0,drums,SDR,6.07709,AM Contra - Heart Peripheral
35,35.0,drums,SDR,4.19905,AM Contra - Heart Peripheral
36,36.0,drums,SDR,4.32751,AM Contra - Heart Peripheral
37,37.0,drums,SDR,4.69084,AM Contra - Heart Peripheral
38,38.0,drums,SDR,5.00618,AM Contra - Heart Peripheral
39,39.0,drums,SDR,4.62738,AM Contra - Heart Peripheral
40,40.0,drums,SDR,5.65456,AM Contra - Heart Peripheral
41,41.0,drums,SDR,6.51855,AM Contra - Heart Peripheral
42,42.0,drums,SDR,4.79559,AM Contra - Heart Peripheral
43,43.0,drums,SDR,4.21773,AM Contra - Heart Peripheral
44,44.0,drums,SDR,5.44334,AM Contra - Heart Peripheral
45,45.0,drums,SDR,4.88454,AM Contra - Heart Peripheral
46,46.0,drums,SDR,3.37529,AM Contra - Heart Peripheral
47,47.0,drums,SDR,2.35848,AM Contra - Heart Peripheral
48,48.0,drums,SDR,2.82978,AM Contra - Heart Peripheral
49,49.0,drums,SDR,2.4073,AM Contra - Heart Peripheral
50,50.0,drums,SDR,2.3257,AM Contra - Heart Peripheral
51,51.0,drums,SDR,2.32133,AM Contra - Heart Peripheral
52,52.0,drums,SDR,2.60373,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.63349,AM Contra - Heart Peripheral
54,54.0,drums,SDR,2.8792,AM Contra - Heart Peripheral
55,55.0,drums,SDR,2.64586,AM Contra - Heart Peripheral
56,56.0,drums,SDR,3.64654,AM Contra - Heart Peripheral
57,57.0,drums,SDR,2.34242,AM Contra - Heart Peripheral
58,58.0,drums,SDR,2.89899,AM Contra - Heart Peripheral
59,59.0,drums,SDR,3.21293,AM Contra - Heart Peripheral
60,60.0,drums,SDR,3.36761,AM Contra - Heart Peripheral
61,61.0,drums,SDR,3.66534,AM Contra - Heart Peripheral
62,62.0,drums,SDR,2.73705,AM Contra - Heart Peripheral
63,63.0,drums,SDR,3.57846,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-20.76676,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-20.95855,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-21.03037,AM Contra - Heart Peripheral
67,3.0,bass,SDR,8.08652,AM Contra - Heart Peripheral
68,4.0,bass,SDR,4.2455,AM Contra - Heart Peripheral
69,5.0,bass,SDR,6.24484,AM Contra - Heart Peripheral
70,6.0,bass,SDR,6.4443,AM Contra - Heart Peripheral
71,7.0,bass,SDR,4.25339,AM Contra - Heart Peripheral
72,8.0,bass,SDR,4.37833,AM Contra - Heart Peripheral
73,9.0,bass,SDR,4.15717,AM Contra - Heart Peripheral
74,10.0,bass,SDR,4.57877,AM Contra - Heart Peripheral
75,11.0,bass,SDR,4.00976,AM Contra - Heart Peripheral
76,12.0,bass,SDR,4.71338,AM Contra - Heart Peripheral
77,13.0,bass,SDR,4.89224,AM Contra - Heart Peripheral
78,14.0,bass,SDR,4.46626,AM Contra - Heart Peripheral
79,15.0,bass,SDR,3.63325,AM Contra - Heart Peripheral
80,16.0,bass,SDR,3.09321,AM Contra - Heart Peripheral
81,17.0,bass,SDR,5.76755,AM Contra - Heart Peripheral
82,18.0,bass,SDR,4.9645,AM Contra - Heart Peripheral
83,19.0,bass,SDR,3.89189,AM Contra - Heart Peripheral
84,20.0,bass,SDR,4.23361,AM Contra - Heart Peripheral
85,21.0,bass,SDR,1.98053,AM Contra - Heart Peripheral
86,22.0,bass,SDR,4.68074,AM Contra - Heart Peripheral
87,23.0,bass,SDR,4.48713,AM Contra - Heart Peripheral
88,24.0,bass,SDR,4.43623,AM Contra - Heart Peripheral
89,25.0,bass,SDR,4.20683,AM Contra - Heart Peripheral
