,time,target,metric,score,track
0,0.0,drums,SDR,-20.7701,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.96456,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.03571,AM Contra - Heart Peripheral
3,3.0,drums,SDR,6.53321,AM Contra - Heart Peripheral
4,4.0,drums,SDR,4.70142,AM Contra - Heart Peripheral
5,5.0,drums,SDR,6.85058,AM Contra - Heart Peripheral
6,6.0,drums,SDR,6.66565,AM Contra - Heart Peripheral
7,7.0,drums,SDR,4.7234,AM Contra - Heart Peripheral
8,8.0,drums,SDR,6.2015,AM Contra - Heart Peripheral
9,9.0,drums,SDR,6.7352,AM Contra - Heart Peripheral
10,10.0,drums,SDR,4.01111,AM Contra - Heart Peripheral
11,11.0,drums,SDR,4.13712,AM Contra - Heart Peripheral
12,12.0,drums,SDR,5.1923,AM Contra - Heart Peripheral
13,13.0,drums,SDR,6.87395,AM Contra - Heart Peripheral
14,14.0,drums,SDR,4.89724,AM Contra - Heart Peripheral
15,15.0,drums,SDR,4.0586,AM Contra - Heart Peripheral
16,16.0,drums,SDR,2.88635,AM Contra - Heart Peripheral
17,17.0,drums,SDR,2.76858,AM Contra - Heart Peripheral
18,18.0,drums,SDR,3.25306,AM Contra - Heart Peripheral
19,19.0,drums,SDR,2.91469,AM Contra - Heart Peripheral
20,20.0,drums,SDR,0.3061,AM Contra - Heart Peripheral
21,21.0,drums,SDR,0.1473,AM Contra - Heart Peripheral
22,22.0,drums,SDR,0.26442,AM Contra - Heart Peripheral
23,23.0,drums,SDR,0.21249,AM Contra - Heart Peripheral
24,24.0,drums,SDR,1.25593,AM Contra - Heart Peripheral
25,25.0,drums,SDR,1.15993,AM Contra - Heart Peripheral
26,26.0,drums,SDR,0.69747,AM Contra - Heart Peripheral
27,27.0,drums,SDR,0.55577,AM Contra - Heart Peripheral
28,28.0,drums,SDR,2.59719,AM Contra - Heart Peripheral
29,29.0,drums,SDR,3.0939,AM Contra - Heart Peripheral
30,30.0,drums,SDR,3.5153,AM Contra - Heart Peripheral
31,31.0,drums,SDR,3.89383,AM Contra - Heart Peripheral
32,32.0,drums,SDR,5.57208,AM Contra - Heart Peripheral
33,33.0,drums,SDR,7.10383,AM Contra - Heart Peripheral
34,34.0,drums,SDR,8.18955,AM Contra - Heart Peripheral
35,35.0,drums,SDR,5.45779,AM Contra - Heart Peripheral
36,36.0,drums,SDR,5.05863,AM Contra - Heart Peripheral
37,37.0,drums,SDR,5.92839,AM Contra - Heart Peripheral
38,38.0,drums,SDR,4.7778,AM Contra - Heart Peripheral
39,39.0,drums,SDR,4.46185,AM Contra - Heart Peripheral
40,40.0,drums,SDR,6.91186,AM Contra - Heart Peripheral
41,41.0,drums,SDR,8.24527,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.026,AM Contra - Heart Peripheral
43,43.0,drums,SDR,5.09878,AM Contra - Heart Peripheral
44,44.0,drums,SDR,5.36916,AM Contra - Heart Peripheral
45,45.0,drums,SDR,5.71381,AM Contra - Heart Peripheral
46,46.0,drums,SDR,2.92892,AM Contra - Heart Peripheral
47,47.0,drums,SDR,2.12876,AM Contra - Heart Peripheral
48,48.0,drums,SDR,2.39257,AM Contra - Heart Peripheral
49,49.0,drums,SDR,2.24442,AM Contra - Heart Peripheral
50,50.0,drums,SDR,1.86092,AM Contra - Heart Peripheral
51,51.0,drums,SDR,2.39743,AM Contra - Heart Peripheral
52,52.0,drums,SDR,3.11002,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.54082,AM Contra - Heart Peripheral
54,54.0,drums,SDR,2.27676,AM Contra - Heart Peripheral
55,55.0,drums,SDR,2.16135,AM Contra - Heart Peripheral
56,56.0,drums,SDR,3.3508,AM Contra - Heart Peripheral
57,57.0,drums,SDR,2.10742,AM Contra - Heart Peripheral
58,58.0,drums,SDR,2.68707,AM Contra - Heart Peripheral
59,59.0,drums,SDR,3.08037,AM Contra - Heart Peripheral
60,60.0,drums,SDR,2.95666,AM Contra - Heart Peripheral
61,61.0,drums,SDR,3.06705,AM Contra - Heart Peripheral
62,62.0,drums,SDR,2.52812,AM Contra - Heart Peripheral
63,63.0,drums,SDR,3.17851,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-20.7701,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-20.96456,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-21.03571,AM Contra - Heart Peripheral
67,3.0,bass,SDR,6.53321,AM Contra - Heart Peripheral
