,time,target,metric,score,track
0,0.0,drums,SDR,-1.08122,MusicDelta_80sRock
1,1.0,drums,SDR,-1.43304,MusicDelta_80sRock
2,2.0,drums,SDR,-1.58092,MusicDelta_80sRock
3,3.0,drums,SDR,-1.36815,MusicDelta_80sRock
4,4.0,drums,SDR,-1.7091,MusicDelta_80sRock
5,5.0,drums,SDR,-1.67285,MusicDelta_80sRock
6,6.0,drums,SDR,-1.53061,MusicDelta_80sRock
7,7.0,drums,SDR,-1.50695,MusicDelta_80sRock
8,8.0,drums,SDR,-1.53191,MusicDelta_80sRock
9,9.0,drums,SDR,-1.34946,MusicDelta_80sRock
10,10.0,drums,SDR,-1.55971,MusicDelta_80sRock
11,11.0,drums,SDR,-1.37817,MusicDelta_80sRock
12,12.0,drums,SDR,-1.69047,MusicDelta_80sRock
13,13.0,drums,SDR,-1.62929,MusicDelta_80sRock
14,14.0,drums,SDR,-1.83745,MusicDelta_80sRock
15,15.0,drums,SDR,-1.61116,MusicDelta_80sRock
16,16.0,drums,SDR,-1.75777,MusicDelta_80sRock
17,17.0,drums,SDR,-1.30887,MusicDelta_80sRock
18,18.0,drums,SDR,-1.59396,MusicDelta_80sRock
19,19.0,drums,SDR,-1.75521,MusicDelta_80sRock
20,20.0,drums,SDR,-1.51094,MusicDelta_80sRock
21,21.0,drums,SDR,-1.58749,MusicDelta_80sRock
22,22.0,drums,SDR,-1.34934,MusicDelta_80sRock
23,23.0,drums,SDR,-1.60156,MusicDelta_80sRock
24,24.0,drums,SDR,-1.62525,MusicDelta_80sRock
25,25.0,drums,SDR,-1.56375,MusicDelta_80sRock
26,26.0,drums,SDR,-1.62916,MusicDelta_80sRock
27,27.0,drums,SDR,-1.61393,MusicDelta_80sRock
28,28.0,drums,SDR,-1.71455,MusicDelta_80sRock
29,29.0,drums,SDR,-1.74164,MusicDelta_80sRock
30,30.0,drums,SDR,-1.62623,MusicDelta_80sRock
31,31.0,drums,SDR,-1.59175,MusicDelta_80sRock
32,32.0,drums,SDR,-1.53011,MusicDelta_80sRock
33,33.0,drums,SDR,-1.48558,MusicDelta_80sRock
34,34.0,drums,SDR,-1.45833,MusicDelta_80sRock
35,35.0,drums,SDR,-20.26469,MusicDelta_80sRock
36,0.0,bass,SDR,-1.08122,MusicDelta_80sRock
37,1.0,bass,SDR,-1.43304,MusicDelta_80sRock
38,2.0,bass,SDR,-1.58092,MusicDelta_80sRock
39,3.0,bass,SDR,-1.36815,MusicDelta_80sRock
40,4.0,bass,SDR,-1.7091,MusicDelta_80sRock
41,5.0,bass,SDR,-1.67285,MusicDelta_80sRock
42,6.0,bass,SDR,-1.53061,MusicDelta_80sRock
43,7.0,bass,SDR,-1.50695,MusicDelta_80sRock
44,8.0,bass,SDR,-1.53191,MusicDelta_80sRock
45,9.0,bass,SDR,-1.34946,MusicDelta_80sRock
46,10.0,bass,SDR,-1.55971,MusicDelta_80sRock
47,11.0,bass,SDR,-1.37817,MusicDelta_80sRock
48,12.0,bass,SDR,-1.69047,MusicDelta_80sRock
49,13.0,bass,SDR,-1.62929,MusicDelta_80sRock
50,14.0,bass,SDR,-1.83745,MusicDelta_80sRock
51,15.0,bass,SDR,-1.61116,MusicDelta_80sRock
52,16.0,bass,SDR,-1.75777,MusicDelta_80sRock
53,17.0,bass,SDR,-1.30887,MusicDelta_80sRock
54,18.0,bass,SDR,-1.59396,MusicDelta_80sRock
55,19.0,bass,SDR,-1.75521,MusicDelta_80sRock
56,20.0,bass,SDR,-1.51094,MusicDelta_80sRock
57,21.0,bass,SDR,-1.58749,MusicDelta_80sRock
58,22.0,bass,SDR,-1.34934,MusicDelta_80sRock
59,23.0,bass,SDR,-1.60156,MusicDelta_80sRock
60,24.0,bass,SDR,-1.62525,MusicDelta_80sRock
61,25.0,bass,SDR,-1.56375,MusicDelta_80sRock
62,26.0,bass,SDR,-1.62916,MusicDelta_80sRock
63,27.0,bass,SDR,-1.61393,MusicDelta_80sRock
64,28.0,bass,SDR,-1.71455,MusicDelta_80sRock
65,29.0,bass,SDR,-1.74164,MusicDelta_80sRock
66,30.0,bass,SDR,-1.62623,MusicDelta_80sRock
67,31.0,bass,SDR,-1.59175,MusicDelta_80sRock
68,32.0,bass,SDR,-1.53011,MusicDelta_80sRock
69,33.0,bass,SDR,-1.48558,MusicDelta_80sRock
70,34.0,bass,SDR,-1.45833,MusicDelta_80sRock
71,35.0,bass,SDR,-20.26469,MusicDelta_80sRock
72,0.0,drums,SAR,-1.91335,MusicDelta_80sRock
73,1.0,drums,SAR,-2.88979,MusicDelta_80sRock
74,2.0,drums,SAR,-3.14952,MusicDelta_80sRock
75,3.0,drums,SAR,-3.16172,MusicDelta_80sRock
76,4.0,drums,SAR,-3.27804,MusicDelta_80sRock
77,5.0,drums,SAR,-3.86924,MusicDelta_80sRock
78,6.0,drums,SAR,-3.44337,MusicDelta_80sRock
79,7.0,drums,SAR,-3.40474,MusicDelta_80sRock
80,8.0,drums,SAR,-3.26888,MusicDelta_80sRock
81,9.0,drums,SAR,-2.75628,MusicDelta_80sRock
82,10.0,drums,SAR,-3.1406,MusicDelta_80sRock
83,11.0,drums,SAR,-3.03665,MusicDelta_80sRock
84,12.0,drums,SAR,-3.77032,MusicDelta_80sRock
85,13.0,drums,SAR,-3.4518,MusicDelta_80sRock
86,14.0,drums,SAR,-3.96772,MusicDelta_80sRock
87,15.0,drums,SAR,-3.07973,MusicDelta_80sRock
88,16.0,drums,SAR,-3.92978,MusicDelta_80sRock
89,17.0,drums,SAR,-2.34971,MusicDelta_80sRock
90,18.0,drums,SAR,-2.83098,MusicDelta_80sRock
91,19.0,drums,SAR,-3.96061,MusicDelta_80sRock
92,20.0,drums,SAR,-3.26532,MusicDelta_80sRock
93,21.0,drums,SAR,-3.5452,MusicDelta_80sRock
94,22.0,drums,SAR,-2.64042,MusicDelta_80sRock
95,23.0,drums,SAR,-3.77355,MusicDelta_80sRock
96,24.0,drums,SAR,-3.25407,MusicDelta_80sRock
97,25.0,drums,SAR,-3.5069,MusicDelta_80sRock
98,26.0,drums,SAR,-3.40582,MusicDelta_80sRock
99,27.0,drums,SAR,-3.52588,MusicDelta_80sRock
100,28.0,drums,SAR,-3.39336,MusicDelta_80sRock
101,29.0,drums,SAR,-4.33907,MusicDelta_80sRock
102,30.0,drums,SAR,-2.94164,MusicDelta_80sRock
103,31.0,drums,SAR,-3.07967,MusicDelta_80sRock
104,32.0,drums,SAR,-3.01018,MusicDelta_80sRock
105,33.0,drums,SAR,-3.11471,MusicDelta_80sRock
106,34.0,drums,SAR,-3.15061,MusicDelta_80sRock
107,35.0,drums,SAR,-15.68584,MusicDelta_80sRock
108,0.0,bass,SAR,-1.91335,MusicDelta_80sRock
109,1.0,bass,SAR,-2.88979,MusicDelta_80sRock
110,2.0,bass,SAR,-3.14952,MusicDelta_80sRock
111,3.0,bass,SAR,-3.16172,MusicDelta_80sRock
112,4.0,bass,SAR,-3.27804,MusicDelta_80sRock
113,5.0,bass,SAR,-3.86924,MusicDelta_80sRock
114,6.0,bass,SAR,-3.44337,MusicDelta_80sRock
115,7.0,bass,SAR,-3.40474,MusicDelta_80sRock
116,8.0,bass,SAR,-3.26888,MusicDelta_80sRock
117,9.0,bass,SAR,-2.75628,MusicDelta_80sRock
118,10.0,bass,SAR,-3.1406,MusicDelta_80sRock
119,11.0,bass,SAR,-3.03665,MusicDelta_80sRock
120,12.0,bass,SAR,-3.77032,MusicDelta_80sRock
121,13.0,bass,SAR,-3.4518,MusicDelta_80sRock
122,14.0,bass,SAR,-3.96772,MusicDelta_80sRock
123,15.0,bass,SAR,-3.07973,MusicDelta_80sRock
124,16.0,bass,SAR,-3.92978,MusicDelta_80sRock
125,17.0,bass,SAR,-2.34971,MusicDelta_80sRock
126,18.0,bass,SAR,-2.83098,MusicDelta_80sRock
127,19.0,bass,SAR,-3.96061,MusicDelta_80sRock
128,20.0,bass,SAR,-3.26532,MusicDelta_80sRock
129,21.0,bass,SAR,-3.5452,MusicDelta_80sRock
130,22.0,bass,SAR,-2.64042,MusicDelta_80sRock
131,23.0,bass,SAR,-3.77355,MusicDelta_80sRock
132,24.0,bass,SAR,-3.25407,MusicDelta_80sRock
133,25.0,bass,SAR,-3.5069,MusicDelta_80sRock
134,26.0,bass,SAR,-3.40582,MusicDelta_80sRock
135,27.0,bass,SAR,-3.52588,MusicDelta_80sRock
136,28.0,bass,SAR,-3.39336,MusicDelta_80sRock
137,29.0,bass,SAR,-4.33907,MusicDelta_80sRock
138,30.0,bass,SAR,-2.94164,MusicDelta_80sRock
139,31.0,bass,SAR,-3.07967,MusicDelta_80sRock
140,32.0,bass,SAR,-3.01018,MusicDelta_80sRock
141,33.0,bass,SAR,-3.11471,MusicDelta_80sRock
142,34.0,bass,SAR,-3.15061,MusicDelta_80sRock
143,35.0,bass,SAR,-15.68584,MusicDelta_80sRock
144,0.0,drums,ISR,-0.62528,MusicDelta_80sRock
145,1.0,drums,ISR,-0.61083,MusicDelta_80sRock
146,2.0,drums,ISR,-0.63723,MusicDelta_80sRock
147,3.0,drums,ISR,-0.6402,MusicDelta_80sRock
148,4.0,drums,ISR,-0.65203,MusicDelta_80sRock
149,5.0,drums,ISR,-0.63935,MusicDelta_80sRock
150,6.0,drums,ISR,-0.60741,MusicDelta_80sRock
151,7.0,drums,ISR,-0.56823,MusicDelta_80sRock
152,8.0,drums,ISR,-0.62951,MusicDelta_80sRock
153,9.0,drums,ISR,-0.59187,MusicDelta_80sRock
154,10.0,drums,ISR,-0.58121,MusicDelta_80sRock
155,11.0,drums,ISR,-0.52473,MusicDelta_80sRock
156,12.0,drums,ISR,-0.59511,MusicDelta_80sRock
157,13.0,drums,ISR,-0.6092,MusicDelta_80sRock
158,14.0,drums,ISR,-0.65864,MusicDelta_80sRock
159,15.0,drums,ISR,-0.63517,MusicDelta_80sRock
160,16.0,drums,ISR,-0.59689,MusicDelta_80sRock
161,17.0,drums,ISR,-0.63342,MusicDelta_80sRock
162,18.0,drums,ISR,-0.6341,MusicDelta_80sRock
163,19.0,drums,ISR,-0.64486,MusicDelta_80sRock
164,20.0,drums,ISR,-0.59234,MusicDelta_80sRock
165,21.0,drums,ISR,-0.65186,MusicDelta_80sRock
166,22.0,drums,ISR,-0.65648,MusicDelta_80sRock
167,23.0,drums,ISR,-0.43059,MusicDelta_80sRock
168,24.0,drums,ISR,-0.63858,MusicDelta_80sRock
169,25.0,drums,ISR,-0.60903,MusicDelta_80sRock
170,26.0,drums,ISR,-0.62468,MusicDelta_80sRock
171,27.0,drums,ISR,-0.64409,MusicDelta_80sRock
172,28.0,drums,ISR,-0.63868,MusicDelta_80sRock
173,29.0,drums,ISR,-0.68008,MusicDelta_80sRock
174,30.0,drums,ISR,-0.63178,MusicDelta_80sRock
175,31.0,drums,ISR,-0.64292,MusicDelta_80sRock
176,32.0,drums,ISR,-0.6725,MusicDelta_80sRock
177,33.0,drums,ISR,-0.60936,MusicDelta_80sRock
178,34.0,drums,ISR,-0.17132,MusicDelta_80sRock
179,35.0,drums,ISR,-2.43791,MusicDelta_80sRock
180,0.0,bass,ISR,-0.62528,MusicDelta_80sRock
181,1.0,bass,ISR,-0.61083,MusicDelta_80sRock
182,2.0,bass,ISR,-0.63723,MusicDelta_80sRock
183,3.0,bass,ISR,-0.6402,MusicDelta_80sRock
184,4.0,bass,ISR,-0.65203,MusicDelta_80sRock
185,5.0,bass,ISR,-0.63935,MusicDelta_80sRock
186,6.0,bass,ISR,-0.60741,MusicDelta_80sRock
187,7.0,bass,ISR,-0.56823,MusicDelta_80sRock
188,8.0,bass,ISR,-0.62951,MusicDelta_80sRock
189,9.0,bass,ISR,-0.59187,MusicDelta_80sRock
190,10.0,bass,ISR,-0.58121,MusicDelta_80sRock
191,11.0,bass,ISR,-0.52473,MusicDelta_80sRock
192,12.0,bass,ISR,-0.59511,MusicDelta_80sRock
193,13.0,bass,ISR,-0.6092,MusicDelta_80sRock
194,14.0,bass,ISR,-0.65864,MusicDelta_80sRock
195,15.0,bass,ISR,-0.63517,MusicDelta_80sRock
196,16.0,bass,ISR,-0.59689,MusicDelta_80sRock
197,17.0,bass,ISR,-0.63342,MusicDelta_80sRock
198,18.0,bass,ISR,-0.6341,MusicDelta_80sRock
199,19.0,bass,ISR,-0.64486,MusicDelta_80sRock
200,20.0,bass,ISR,-0.59234,MusicDelta_80sRock
201,21.0,bass,ISR,-0.65186,MusicDelta_80sRock
202,22.0,bass,ISR,-0.65648,MusicDelta_80sRock
203,23.0,bass,ISR,-0.43059,MusicDelta_80sRock
204,24.0,bass,ISR,-0.63858,MusicDelta_80sRock
205,25.0,bass,ISR,-0.60903,MusicDelta_80sRock
206,26.0,bass,ISR,-0.62468,MusicDelta_80sRock
207,27.0,bass,ISR,-0.64409,MusicDelta_80sRock
208,28.0,bass,ISR,-0.63868,MusicDelta_80sRock
209,29.0,bass,ISR,-0.68008,MusicDelta_80sRock
210,30.0,bass,ISR,-0.63178,MusicDelta_80sRock
211,31.0,bass,ISR,-0.64292,MusicDelta_80sRock
212,32.0,bass,ISR,-0.6725,MusicDelta_80sRock
213,33.0,bass,ISR,-0.60936,MusicDelta_80sRock
214,34.0,bass,ISR,-0.17132,MusicDelta_80sRock
215,35.0,bass,ISR,-2.43791,MusicDelta_80sRock
216,0.0,drums,SIR,213.48822,MusicDelta_80sRock
217,1.0,drums,SIR,213.22155,MusicDelta_80sRock
218,2.0,drums,SIR,213.2759,MusicDelta_80sRock
219,3.0,drums,SIR,212.92984,MusicDelta_80sRock
220,4.0,drums,SIR,208.70847,MusicDelta_80sRock
221,5.0,drums,SIR,213.88247,MusicDelta_80sRock
222,6.0,drums,SIR,212.34347,MusicDelta_80sRock
223,7.0,drums,SIR,204.56625,MusicDelta_80sRock
224,8.0,drums,SIR,213.52533,MusicDelta_80sRock
225,9.0,drums,SIR,213.36239,MusicDelta_80sRock
226,10.0,drums,SIR,212.16916,MusicDelta_80sRock
227,11.0,drums,SIR,209.93792,MusicDelta_80sRock
228,12.0,drums,SIR,212.60323,MusicDelta_80sRock
229,13.0,drums,SIR,209.96475,MusicDelta_80sRock
230,14.0,drums,SIR,211.94795,MusicDelta_80sRock
231,15.0,drums,SIR,213.34789,MusicDelta_80sRock
232,16.0,drums,SIR,213.57343,MusicDelta_80sRock
233,17.0,drums,SIR,209.16229,MusicDelta_80sRock
234,18.0,drums,SIR,212.59173,MusicDelta_80sRock
235,19.0,drums,SIR,213.20032,MusicDelta_80sRock
236,20.0,drums,SIR,211.49136,MusicDelta_80sRock
237,21.0,drums,SIR,212.95016,MusicDelta_80sRock
238,22.0,drums,SIR,212.55722,MusicDelta_80sRock
239,23.0,drums,SIR,209.68537,MusicDelta_80sRock
240,24.0,drums,SIR,207.94823,MusicDelta_80sRock
241,25.0,drums,SIR,211.6416,MusicDelta_80sRock
242,26.0,drums,SIR,212.29754,MusicDelta_80sRock
243,27.0,drums,SIR,211.65437,MusicDelta_80sRock
244,28.0,drums,SIR,214.55909,MusicDelta_80sRock
245,29.0,drums,SIR,214.95553,MusicDelta_80sRock
246,30.0,drums,SIR,209.30695,MusicDelta_80sRock
247,31.0,drums,SIR,212.5004,MusicDelta_80sRock
248,32.0,drums,SIR,213.69114,MusicDelta_80sRock
