,time,target,metric,score,track
0,0.0,drums,SDR,-0.53547,MusicDelta_80sRock
1,1.0,drums,SDR,-0.67031,MusicDelta_80sRock
2,2.0,drums,SDR,-1.17096,MusicDelta_80sRock
3,3.0,drums,SDR,-0.55871,MusicDelta_80sRock
4,4.0,drums,SDR,-1.07992,MusicDelta_80sRock
5,5.0,drums,SDR,-1.03224,MusicDelta_80sRock
6,6.0,drums,SDR,-0.93049,MusicDelta_80sRock
7,7.0,drums,SDR,-0.77751,MusicDelta_80sRock
8,8.0,drums,SDR,-0.88841,MusicDelta_80sRock
9,9.0,drums,SDR,-0.70094,MusicDelta_80sRock
10,10.0,drums,SDR,-0.76317,MusicDelta_80sRock
11,11.0,drums,SDR,-1.17221,MusicDelta_80sRock
12,12.0,drums,SDR,-1.42913,MusicDelta_80sRock
13,13.0,drums,SDR,-1.19503,MusicDelta_80sRock
14,14.0,drums,SDR,-1.15233,MusicDelta_80sRock
15,15.0,drums,SDR,-1.25066,MusicDelta_80sRock
16,16.0,drums,SDR,-1.33116,MusicDelta_80sRock
17,17.0,drums,SDR,-0.82227,MusicDelta_80sRock
18,18.0,drums,SDR,-0.93574,MusicDelta_80sRock
19,19.0,drums,SDR,-1.22875,MusicDelta_80sRock
20,20.0,drums,SDR,-1.46059,MusicDelta_80sRock
21,21.0,drums,SDR,-1.18805,MusicDelta_80sRock
22,22.0,drums,SDR,-0.924,MusicDelta_80sRock
23,23.0,drums,SDR,-1.15472,MusicDelta_80sRock
24,24.0,drums,SDR,-1.01771,MusicDelta_80sRock
25,25.0,drums,SDR,-1.08546,MusicDelta_80sRock
26,26.0,drums,SDR,-0.93513,MusicDelta_80sRock
27,27.0,drums,SDR,-1.09486,MusicDelta_80sRock
28,28.0,drums,SDR,-0.7984,MusicDelta_80sRock
29,29.0,drums,SDR,-1.37545,MusicDelta_80sRock
30,30.0,drums,SDR,-1.36015,MusicDelta_80sRock
31,31.0,drums,SDR,-0.8028,MusicDelta_80sRock
32,32.0,drums,SDR,-1.00551,MusicDelta_80sRock
33,33.0,drums,SDR,-1.01347,MusicDelta_80sRock
34,34.0,drums,SDR,-0.75739,MusicDelta_80sRock
35,35.0,drums,SDR,-11.53636,MusicDelta_80sRock
36,0.0,bass,SDR,-0.53547,MusicDelta_80sRock
37,1.0,bass,SDR,-0.67031,MusicDelta_80sRock
38,2.0,bass,SDR,-1.17096,MusicDelta_80sRock
39,3.0,bass,SDR,-0.55871,MusicDelta_80sRock
40,4.0,bass,SDR,-1.07992,MusicDelta_80sRock
41,5.0,bass,SDR,-1.03224,MusicDelta_80sRock
42,6.0,bass,SDR,-0.93049,MusicDelta_80sRock
43,7.0,bass,SDR,-0.77751,MusicDelta_80sRock
44,8.0,bass,SDR,-0.88841,MusicDelta_80sRock
45,9.0,bass,SDR,-0.70094,MusicDelta_80sRock
46,10.0,bass,SDR,-0.76317,MusicDelta_80sRock
47,11.0,bass,SDR,-1.17221,MusicDelta_80sRock
48,12.0,bass,SDR,-1.42913,MusicDelta_80sRock
49,13.0,bass,SDR,-1.19503,MusicDelta_80sRock
50,14.0,bass,SDR,-1.15233,MusicDelta_80sRock
51,15.0,bass,SDR,-1.25066,MusicDelta_80sRock
52,16.0,bass,SDR,-1.33116,MusicDelta_80sRock
53,17.0,bass,SDR,-0.82227,MusicDelta_80sRock
54,18.0,bass,SDR,-0.93574,MusicDelta_80sRock
55,19.0,bass,SDR,-1.22875,MusicDelta_80sRock
56,20.0,bass,SDR,-1.46059,MusicDelta_80sRock
57,21.0,bass,SDR,-1.18805,MusicDelta_80sRock
58,22.0,bass,SDR,-0.924,MusicDelta_80sRock
59,23.0,bass,SDR,-1.15472,MusicDelta_80sRock
60,24.0,bass,SDR,-1.01771,MusicDelta_80sRock
61,25.0,bass,SDR,-1.08546,MusicDelta_80sRock
62,26.0,bass,SDR,-0.93513,MusicDelta_80sRock
63,27.0,bass,SDR,-1.09486,MusicDelta_80sRock
64,28.0,bass,SDR,-0.7984,MusicDelta_80sRock
65,29.0,bass,SDR,-1.37545,MusicDelta_80sRock
66,30.0,bass,SDR,-1.36015,MusicDelta_80sRock
67,31.0,bass,SDR,-0.8028,MusicDelta_80sRock
68,32.0,bass,SDR,-1.00551,MusicDelta_80sRock
69,33.0,bass,SDR,-1.01347,MusicDelta_80sRock
70,34.0,bass,SDR,-0.75739,MusicDelta_80sRock
71,35.0,bass,SDR,-11.53636,MusicDelta_80sRock
72,0.0,drums,SAR,-1.41493,MusicDelta_80sRock
73,1.0,drums,SAR,-1.24892,MusicDelta_80sRock
74,2.0,drums,SAR,-4.17874,MusicDelta_80sRock
75,3.0,drums,SAR,-2.95219,MusicDelta_80sRock
76,4.0,drums,SAR,-2.38057,MusicDelta_80sRock
77,5.0,drums,SAR,-3.98213,MusicDelta_80sRock
78,6.0,drums,SAR,-3.46093,MusicDelta_80sRock
79,7.0,drums,SAR,-2.57181,MusicDelta_80sRock
80,8.0,drums,SAR,-3.03239,MusicDelta_80sRock
81,9.0,drums,SAR,-1.76758,MusicDelta_80sRock
82,10.0,drums,SAR,-1.69746,MusicDelta_80sRock
83,11.0,drums,SAR,-4.95953,MusicDelta_80sRock
84,12.0,drums,SAR,-5.4475,MusicDelta_80sRock
85,13.0,drums,SAR,-4.59157,MusicDelta_80sRock
86,14.0,drums,SAR,-3.55302,MusicDelta_80sRock
87,15.0,drums,SAR,-4.66581,MusicDelta_80sRock
88,16.0,drums,SAR,-4.96808,MusicDelta_80sRock
89,17.0,drums,SAR,-1.64103,MusicDelta_80sRock
90,18.0,drums,SAR,-2.76518,MusicDelta_80sRock
91,19.0,drums,SAR,-4.28215,MusicDelta_80sRock
92,20.0,drums,SAR,-5.47662,MusicDelta_80sRock
93,21.0,drums,SAR,-5.62067,MusicDelta_80sRock
94,22.0,drums,SAR,-4.14922,MusicDelta_80sRock
95,23.0,drums,SAR,-4.09044,MusicDelta_80sRock
96,24.0,drums,SAR,-2.00462,MusicDelta_80sRock
97,25.0,drums,SAR,-3.65457,MusicDelta_80sRock
98,26.0,drums,SAR,-2.00381,MusicDelta_80sRock
99,27.0,drums,SAR,-3.44313,MusicDelta_80sRock
100,28.0,drums,SAR,-2.7539,MusicDelta_80sRock
101,29.0,drums,SAR,-5.63425,MusicDelta_80sRock
102,30.0,drums,SAR,-4.19098,MusicDelta_80sRock
103,31.0,drums,SAR,-2.06899,MusicDelta_80sRock
104,32.0,drums,SAR,-3.52281,MusicDelta_80sRock
105,33.0,drums,SAR,-3.85892,MusicDelta_80sRock
106,34.0,drums,SAR,-2.44251,MusicDelta_80sRock
107,35.0,drums,SAR,-11.63167,MusicDelta_80sRock
108,0.0,bass,SAR,-1.41493,MusicDelta_80sRock
109,1.0,bass,SAR,-1.24892,MusicDelta_80sRock
110,2.0,bass,SAR,-4.17874,MusicDelta_80sRock
