,time,target,metric,score,track
0,0.0,drums,SDR,-14.89327,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-14.4444,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-14.57429,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.45091,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.32109,AM Contra - Heart Peripheral
5,5.0,drums,SDR,8.35625,AM Contra - Heart Peripheral
6,6.0,drums,SDR,14.34492,AM Contra - Heart Peripheral
7,7.0,drums,SDR,11.33042,AM Contra - Heart Peripheral
8,8.0,drums,SDR,10.76284,AM Contra - Heart Peripheral
9,9.0,drums,SDR,10.15281,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.07162,AM Contra - Heart Peripheral
11,11.0,drums,SDR,7.01126,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.02052,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.92143,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.36569,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.77246,AM Contra - Heart Peripheral
16,16.0,drums,SDR,8.4461,AM Contra - Heart Peripheral
17,17.0,drums,SDR,8.74527,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.23715,AM Contra - Heart Peripheral
19,19.0,drums,SDR,13.65342,AM Contra - Heart Peripheral
20,20.0,drums,SDR,15.17039,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.61816,AM Contra - Heart Peripheral
22,22.0,drums,SDR,11.64117,AM Contra - Heart Peripheral
23,23.0,drums,SDR,7.15541,AM Contra - Heart Peripheral
24,24.0,drums,SDR,6.90756,AM Contra - Heart Peripheral
25,25.0,drums,SDR,13.29449,AM Contra - Heart Peripheral
26,26.0,drums,SDR,12.89054,AM Contra - Heart Peripheral
27,27.0,drums,SDR,13.52366,AM Contra - Heart Peripheral
28,28.0,drums,SDR,6.16115,AM Contra - Heart Peripheral
29,29.0,drums,SDR,9.12861,AM Contra - Heart Peripheral
30,30.0,drums,SDR,7.64464,AM Contra - Heart Peripheral
31,31.0,drums,SDR,8.2233,AM Contra - Heart Peripheral
32,32.0,drums,SDR,8.39027,AM Contra - Heart Peripheral
33,33.0,drums,SDR,10.07417,AM Contra - Heart Peripheral
34,34.0,drums,SDR,10.77679,AM Contra - Heart Peripheral
35,35.0,drums,SDR,9.31681,AM Contra - Heart Peripheral
36,36.0,drums,SDR,9.11746,AM Contra - Heart Peripheral
37,37.0,drums,SDR,6.71364,AM Contra - Heart Peripheral
38,38.0,drums,SDR,6.5898,AM Contra - Heart Peripheral
39,39.0,drums,SDR,8.76335,AM Contra - Heart Peripheral
40,40.0,drums,SDR,10.12542,AM Contra - Heart Peripheral
41,41.0,drums,SDR,11.90959,AM Contra - Heart Peripheral
42,42.0,drums,SDR,4.67863,AM Contra - Heart Peripheral
43,43.0,drums,SDR,9.46264,AM Contra - Heart Peripheral
44,44.0,drums,SDR,7.98963,AM Contra - Heart Peripheral
45,45.0,drums,SDR,5.29275,AM Contra - Heart Peripheral
46,46.0,drums,SDR,3.22015,AM Contra - Heart Peripheral
47,47.0,drums,SDR,3.34256,AM Contra - Heart Peripheral
48,48.0,drums,SDR,3.45622,AM Contra - Heart Peripheral
49,49.0,drums,SDR,3.27317,AM Contra - Heart Peripheral
50,50.0,drums,SDR,3.41142,AM Contra - Heart Peripheral
51,51.0,drums,SDR,3.11288,AM Contra - Heart Peripheral
52,52.0,drums,SDR,2.18556,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.00286,AM Contra - Heart Peripheral
54,54.0,drums,SDR,2.63467,AM Contra - Heart Peripheral
55,55.0,drums,SDR,2.92494,AM Contra - Heart Peripheral
56,56.0,drums,SDR,3.49482,AM Contra - Heart Peripheral
57,57.0,drums,SDR,3.1843,AM Contra - Heart Peripheral
58,58.0,drums,SDR,3.57213,AM Contra - Heart Peripheral
59,59.0,drums,SDR,3.43811,AM Contra - Heart Peripheral
60,60.0,drums,SDR,2.34977,AM Contra - Heart Peripheral
61,61.0,drums,SDR,3.37402,AM Contra - Heart Peripheral
62,62.0,drums,SDR,2.85446,AM Contra - Heart Peripheral
63,63.0,drums,SDR,3.56335,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-14.89327,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-14.4444,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-14.57429,AM Contra - Heart Peripheral
67,3.0,bass,SDR,9.45091,AM Contra - Heart Peripheral
68,4.0,bass,SDR,11.32109,AM Contra - Heart Peripheral
69,5.0,bass,SDR,8.35625,AM Contra - Heart Peripheral
70,6.0,bass,SDR,14.34492,AM Contra - Heart Peripheral
71,7.0,bass,SDR,11.33042,AM Contra - Heart Peripheral
72,8.0,bass,SDR,10.76284,AM Contra - Heart Peripheral
73,9.0,bass,SDR,10.15281,AM Contra - Heart Peripheral
74,10.0,bass,SDR,8.07162,AM Contra - Heart Peripheral
75,11.0,bass,SDR,7.01126,AM Contra - Heart Peripheral
76,12.0,bass,SDR,7.02052,AM Contra - Heart Peripheral
77,13.0,bass,SDR,11.92143,AM Contra - Heart Peripheral
78,14.0,bass,SDR,6.36569,AM Contra - Heart Peripheral
79,15.0,bass,SDR,8.77246,AM Contra - Heart Peripheral
80,16.0,bass,SDR,8.4461,AM Contra - Heart Peripheral
81,17.0,bass,SDR,8.74527,AM Contra - Heart Peripheral
82,18.0,bass,SDR,14.23715,AM Contra - Heart Peripheral
83,19.0,bass,SDR,13.65342,AM Contra - Heart Peripheral
84,20.0,bass,SDR,15.17039,AM Contra - Heart Peripheral
85,21.0,bass,SDR,4.61816,AM Contra - Heart Peripheral
86,22.0,bass,SDR,11.64117,AM Contra - Heart Peripheral
87,23.0,bass,SDR,7.15541,AM Contra - Heart Peripheral
88,24.0,bass,SDR,6.90756,AM Contra - Heart Peripheral
89,25.0,bass,SDR,13.29449,AM Contra - Heart Peripheral
90,26.0,bass,SDR,12.89054,AM Contra - Heart Peripheral
91,27.0,bass,SDR,13.52366,AM Contra - Heart Peripheral
92,28.0,bass,SDR,6.16115,AM Contra - Heart Peripheral
93,29.0,bass,SDR,9.12861,AM Contra - Heart Peripheral
94,30.0,bass,SDR,7.64464,AM Contra - Heart Peripheral
95,31.0,bass,SDR,8.2233,AM Contra - Heart Peripheral
96,32.0,bass,SDR,8.39027,AM Contra - Heart Peripheral
