,time,target,metric,score,track
0,0.0,drums,SDR,-17.3005,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-16.558,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-16.65145,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.6175,AM Contra - Heart Peripheral
4,4.0,drums,SDR,7.90574,AM Contra - Heart Peripheral
5,5.0,drums,SDR,8.29125,AM Contra - Heart Peripheral
6,6.0,drums,SDR,9.68836,AM Contra - Heart Peripheral
7,7.0,drums,SDR,10.41286,AM Contra - Heart Peripheral
8,8.0,drums,SDR,7.82999,AM Contra - Heart Peripheral
9,9.0,drums,SDR,7.25119,AM Contra - Heart Peripheral
10,10.0,drums,SDR,6.58591,AM Contra - Heart Peripheral
11,11.0,drums,SDR,7.28767,AM Contra - Heart Peripheral
12,12.0,drums,SDR,6.91934,AM Contra - Heart Peripheral
13,13.0,drums,SDR,10.57175,AM Contra - Heart Peripheral
14,14.0,drums,SDR,7.42466,AM Contra - Heart Peripheral
15,15.0,drums,SDR,7.37823,AM Contra - Heart Peripheral
16,16.0,drums,SDR,7.57507,AM Contra - Heart Peripheral
17,17.0,drums,SDR,6.56196,AM Contra - Heart Peripheral
18,18.0,drums,SDR,7.51461,AM Contra - Heart Peripheral
19,19.0,drums,SDR,7.96698,AM Contra - Heart Peripheral
20,20.0,drums,SDR,2.0735,AM Contra - Heart Peripheral
21,21.0,drums,SDR,3.95923,AM Contra - Heart Peripheral
22,22.0,drums,SDR,6.74107,AM Contra - Heart Peripheral
23,23.0,drums,SDR,6.21464,AM Contra - Heart Peripheral
24,24.0,drums,SDR,6.93453,AM Contra - Heart Peripheral
25,25.0,drums,SDR,7.82541,AM Contra - Heart Peripheral
26,26.0,drums,SDR,6.12682,AM Contra - Heart Peripheral
27,27.0,drums,SDR,7.44811,AM Contra - Heart Peripheral
28,28.0,drums,SDR,4.9712,AM Contra - Heart Peripheral
29,29.0,drums,SDR,5.96259,AM Contra - Heart Peripheral
30,30.0,drums,SDR,5.96101,AM Contra - Heart Peripheral
31,31.0,drums,SDR,6.24343,AM Contra - Heart Peripheral
32,32.0,drums,SDR,6.69734,AM Contra - Heart Peripheral
33,33.0,drums,SDR,6.44564,AM Contra - Heart Peripheral
34,34.0,drums,SDR,6.27401,AM Contra - Heart Peripheral
35,35.0,drums,SDR,7.34966,AM Contra - Heart Peripheral
36,36.0,drums,SDR,6.8342,AM Contra - Heart Peripheral
37,37.0,drums,SDR,5.52937,AM Contra - Heart Peripheral
38,38.0,drums,SDR,5.72028,AM Contra - Heart Peripheral
39,39.0,drums,SDR,6.70656,AM Contra - Heart Peripheral
40,40.0,drums,SDR,7.26759,AM Contra - Heart Peripheral
41,41.0,drums,SDR,10.25599,AM Contra - Heart Peripheral
42,42.0,drums,SDR,6.21422,AM Contra - Heart Peripheral
43,43.0,drums,SDR,8.23528,AM Contra - Heart Peripheral
44,44.0,drums,SDR,7.24956,AM Contra - Heart Peripheral
45,45.0,drums,SDR,6.59656,AM Contra - Heart Peripheral
46,46.0,drums,SDR,2.82576,AM Contra - Heart Peripheral
47,47.0,drums,SDR,2.93069,AM Contra - Heart Peripheral
48,48.0,drums,SDR,3.72061,AM Contra - Heart Peripheral
49,49.0,drums,SDR,3.03725,AM Contra - Heart Peripheral
50,50.0,drums,SDR,3.19873,AM Contra - Heart Peripheral
51,51.0,drums,SDR,2.54128,AM Contra - Heart Peripheral
52,52.0,drums,SDR,3.11086,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.18558,AM Contra - Heart Peripheral
