,time,target,metric,score,track
0,0.0,drums,SDR,-43.19898,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-39.98376,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-41.92232,AM Contra - Heart Peripheral
3,3.0,drums,SDR,7.6499,AM Contra - Heart Peripheral
4,4.0,drums,SDR,8.67932,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.33757,AM Contra - Heart Peripheral
6,6.0,drums,SDR,14.96141,AM Contra - Heart Peripheral
7,7.0,drums,SDR,7.08624,AM Contra - Heart Peripheral
8,8.0,drums,SDR,8.81172,AM Contra - Heart Peripheral
9,9.0,drums,SDR,7.43651,AM Contra - Heart Peripheral
10,10.0,drums,SDR,7.40776,AM Contra - Heart Peripheral
11,11.0,drums,SDR,7.98199,AM Contra - Heart Peripheral
12,12.0,drums,SDR,6.40136,AM Contra - Heart Peripheral
13,13.0,drums,SDR,9.38016,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.13595,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.09548,AM Contra - Heart Peripheral
16,16.0,drums,SDR,8.58995,AM Contra - Heart Peripheral
17,17.0,drums,SDR,10.74035,AM Contra - Heart Peripheral
18,18.0,drums,SDR,15.06011,AM Contra - Heart Peripheral
19,19.0,drums,SDR,12.93349,AM Contra - Heart Peripheral
20,20.0,drums,SDR,16.17282,AM Contra - Heart Peripheral
21,21.0,drums,SDR,5.79422,AM Contra - Heart Peripheral
22,22.0,drums,SDR,13.55769,AM Contra - Heart Peripheral
23,23.0,drums,SDR,7.53029,AM Contra - Heart Peripheral
24,24.0,drums,SDR,10.8476,AM Contra - Heart Peripheral
25,25.0,drums,SDR,15.52342,AM Contra - Heart Peripheral
26,26.0,drums,SDR,16.34076,AM Contra - Heart Peripheral
27,27.0,drums,SDR,14.12108,AM Contra - Heart Peripheral
28,28.0,drums,SDR,6.66267,AM Contra - Heart Peripheral
29,29.0,drums,SDR,11.6683,AM Contra - Heart Peripheral
30,30.0,drums,SDR,8.84633,AM Contra - Heart Peripheral
31,31.0,drums,SDR,8.10317,AM Contra - Heart Peripheral
32,32.0,drums,SDR,9.30855,AM Contra - Heart Peripheral
33,33.0,drums,SDR,10.50372,AM Contra - Heart Peripheral
34,34.0,drums,SDR,10.91564,AM Contra - Heart Peripheral
35,35.0,drums,SDR,9.97345,AM Contra - Heart Peripheral
36,36.0,drums,SDR,9.36551,AM Contra - Heart Peripheral
37,37.0,drums,SDR,7.7508,AM Contra - Heart Peripheral
38,38.0,drums,SDR,6.95129,AM Contra - Heart Peripheral
39,39.0,drums,SDR,9.25532,AM Contra - Heart Peripheral
40,40.0,drums,SDR,10.86491,AM Contra - Heart Peripheral
41,41.0,drums,SDR,12.46762,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.10434,AM Contra - Heart Peripheral
43,43.0,drums,SDR,9.28224,AM Contra - Heart Peripheral
44,44.0,drums,SDR,8.05315,AM Contra - Heart Peripheral
45,45.0,drums,SDR,6.6276,AM Contra - Heart Peripheral
