,time,target,metric,score,track
0,0.0,drums,SDR,-22.89071,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-31.50768,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-22.35497,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.42949,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.00377,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.56285,AM Contra - Heart Peripheral
6,6.0,drums,SDR,14.91599,AM Contra - Heart Peripheral
7,7.0,drums,SDR,8.08273,AM Contra - Heart Peripheral
8,8.0,drums,SDR,9.61785,AM Contra - Heart Peripheral
9,9.0,drums,SDR,9.00926,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.04114,AM Contra - Heart Peripheral
11,11.0,drums,SDR,9.06049,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.01893,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.39474,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.93328,AM Contra - Heart Peripheral
15,15.0,drums,SDR,9.35852,AM Contra - Heart Peripheral
16,16.0,drums,SDR,7.17951,AM Contra - Heart Peripheral
17,17.0,drums,SDR,9.32723,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.80578,AM Contra - Heart Peripheral
19,19.0,drums,SDR,14.37378,AM Contra - Heart Peripheral
20,20.0,drums,SDR,12.70522,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.69636,AM Contra - Heart Peripheral
22,22.0,drums,SDR,10.79334,AM Contra - Heart Peripheral
23,23.0,drums,SDR,6.95953,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.29578,AM Contra - Heart Peripheral
25,25.0,drums,SDR,14.56874,AM Contra - Heart Peripheral
26,26.0,drums,SDR,14.2614,AM Contra - Heart Peripheral
27,27.0,drums,SDR,15.34465,AM Contra - Heart Peripheral
28,28.0,drums,SDR,6.93513,AM Contra - Heart Peripheral
29,29.0,drums,SDR,11.87623,AM Contra - Heart Peripheral
30,30.0,drums,SDR,8.27341,AM Contra - Heart Peripheral
31,31.0,drums,SDR,6.96262,AM Contra - Heart Peripheral
32,32.0,drums,SDR,13.07918,AM Contra - Heart Peripheral
33,33.0,drums,SDR,12.39449,AM Contra - Heart Peripheral
34,34.0,drums,SDR,13.04771,AM Contra - Heart Peripheral
35,35.0,drums,SDR,12.76781,AM Contra - Heart Peripheral
36,36.0,drums,SDR,12.19438,AM Contra - Heart Peripheral
37,37.0,drums,SDR,6.78193,AM Contra - Heart Peripheral
38,38.0,drums,SDR,6.89296,AM Contra - Heart Peripheral
39,39.0,drums,SDR,11.31683,AM Contra - Heart Peripheral
40,40.0,drums,SDR,11.67766,AM Contra - Heart Peripheral
41,41.0,drums,SDR,12.29928,AM Contra - Heart Peripheral
42,42.0,drums,SDR,6.0132,AM Contra - Heart Peripheral
43,43.0,drums,SDR,10.95105,AM Contra - Heart Peripheral
44,44.0,drums,SDR,8.60125,AM Contra - Heart Peripheral
45,45.0,drums,SDR,6.11479,AM Contra - Heart Peripheral
46,46.0,drums,SDR,4.36883,AM Contra - Heart Peripheral
47,47.0,drums,SDR,3.79324,AM Contra - Heart Peripheral
48,48.0,drums,SDR,4.26333,AM Contra - Heart Peripheral
49,49.0,drums,SDR,3.50676,AM Contra - Heart Peripheral
50,50.0,drums,SDR,4.01225,AM Contra - Heart Peripheral
51,51.0,drums,SDR,3.04918,AM Contra - Heart Peripheral
52,52.0,drums,SDR,3.66047,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.65261,AM Contra - Heart Peripheral
54,54.0,drums,SDR,2.7395,AM Contra - Heart Peripheral
55,55.0,drums,SDR,3.6202,AM Contra - Heart Peripheral
56,56.0,drums,SDR,4.51594,AM Contra - Heart Peripheral
57,57.0,drums,SDR,3.94422,AM Contra - Heart Peripheral
58,58.0,drums,SDR,3.56957,AM Contra - Heart Peripheral
59,59.0,drums,SDR,4.37867,AM Contra - Heart Peripheral
60,60.0,drums,SDR,3.90658,AM Contra - Heart Peripheral
61,61.0,drums,SDR,4.92614,AM Contra - Heart Peripheral
62,62.0,drums,SDR,4.17584,AM Contra - Heart Peripheral
63,63.0,drums,SDR,4.52533,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-22.89071,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-31.50768,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-22.35497,AM Contra - Heart Peripheral
67,3.0,bass,SDR,9.42949,AM Contra - Heart Peripheral
68,4.0,bass,SDR,11.00377,AM Contra - Heart Peripheral
69,5.0,bass,SDR,7.56285,AM Contra - Heart Peripheral
70,6.0,bass,SDR,14.91599,AM Contra - Heart Peripheral
71,7.0,bass,SDR,8.08273,AM Contra - Heart Peripheral
72,8.0,bass,SDR,9.61785,AM Contra - Heart Peripheral
73,9.0,bass,SDR,9.00926,AM Contra - Heart Peripheral
74,10.0,bass,SDR,8.04114,AM Contra - Heart Peripheral
75,11.0,bass,SDR,9.06049,AM Contra - Heart Peripheral
76,12.0,bass,SDR,7.01893,AM Contra - Heart Peripheral
77,13.0,bass,SDR,11.39474,AM Contra - Heart Peripheral
78,14.0,bass,SDR,6.93328,AM Contra - Heart Peripheral
79,15.0,bass,SDR,9.35852,AM Contra - Heart Peripheral
80,16.0,bass,SDR,7.17951,AM Contra - Heart Peripheral
81,17.0,bass,SDR,9.32723,AM Contra - Heart Peripheral
82,18.0,bass,SDR,14.80578,AM Contra - Heart Peripheral
83,19.0,bass,SDR,14.37378,AM Contra - Heart Peripheral
84,20.0,bass,SDR,12.70522,AM Contra - Heart Peripheral
85,21.0,bass,SDR,4.69636,AM Contra - Heart Peripheral
86,22.0,bass,SDR,10.79334,AM Contra - Heart Peripheral
87,23.0,bass,SDR,6.95953,AM Contra - Heart Peripheral
88,24.0,bass,SDR,9.29578,AM Contra - Heart Peripheral
89,25.0,bass,SDR,14.56874,AM Contra - Heart Peripheral
90,26.0,bass,SDR,14.2614,AM Contra - Heart Peripheral
91,27.0,bass,SDR,15.34465,AM Contra - Heart Peripheral
92,28.0,bass,SDR,6.93513,AM Contra - Heart Peripheral
93,29.0,bass,SDR,11.87623,AM Contra - Heart Peripheral
94,30.0,bass,SDR,8.27341,AM Contra - Heart Peripheral
95,31.0,bass,SDR,6.96262,AM Contra - Heart Peripheral
96,32.0,bass,SDR,13.07918,AM Contra - Heart Peripheral
97,33.0,bass,SDR,12.39449,AM Contra - Heart Peripheral
98,34.0,bass,SDR,13.04771,AM Contra - Heart Peripheral
99,35.0,bass,SDR,12.76781,AM Contra - Heart Peripheral
100,36.0,bass,SDR,12.19438,AM Contra - Heart Peripheral
101,37.0,bass,SDR,6.78193,AM Contra - Heart Peripheral
102,38.0,bass,SDR,6.89296,AM Contra - Heart Peripheral
103,39.0,bass,SDR,11.31683,AM Contra - Heart Peripheral
104,40.0,bass,SDR,11.67766,AM Contra - Heart Peripheral
105,41.0,bass,SDR,12.29928,AM Contra - Heart Peripheral
106,42.0,bass,SDR,6.0132,AM Contra - Heart Peripheral
107,43.0,bass,SDR,10.95105,AM Contra - Heart Peripheral
108,44.0,bass,SDR,8.60125,AM Contra - Heart Peripheral
109,45.0,bass,SDR,6.11479,AM Contra - Heart Peripheral
110,46.0,bass,SDR,4.36883,AM Contra - Heart Peripheral
111,47.0,bass,SDR,3.79324,AM Contra - Heart Peripheral
112,48.0,bass,SDR,4.26333,AM Contra - Heart Peripheral
113,49.0,bass,SDR,3.50676,AM Contra - Heart Peripheral
114,50.0,bass,SDR,4.01225,AM Contra - Heart Peripheral
115,51.0,bass,SDR,3.04918,AM Contra - Heart Peripheral
116,52.0,bass,SDR,3.66047,AM Contra - Heart Peripheral
117,53.0,bass,SDR,2.65261,AM Contra - Heart Peripheral
118,54.0,bass,SDR,2.7395,AM Contra - Heart Peripheral
119,55.0,bass,SDR,3.6202,AM Contra - Heart Peripheral
120,56.0,bass,SDR,4.51594,AM Contra - Heart Peripheral
121,57.0,bass,SDR,3.94422,AM Contra - Heart Peripheral
122,58.0,bass,SDR,3.56957,AM Contra - Heart Peripheral
123,59.0,bass,SDR,4.37867,AM Contra - Heart Peripheral
124,60.0,bass,SDR,3.90658,AM Contra - Heart Peripheral
125,61.0,bass,SDR,4.92614,AM Contra - Heart Peripheral
126,62.0,bass,SDR,4.17584,AM Contra - Heart Peripheral
127,63.0,bass,SDR,4.52533,AM Contra - Heart Peripheral
128,0.0,drums,SAR,-25.35132,AM Contra - Heart Peripheral
129,1.0,drums,SAR,-33.9861,AM Contra - Heart Peripheral
130,2.0,drums,SAR,-24.874,AM Contra - Heart Peripheral
131,3.0,drums,SAR,6.70735,AM Contra - Heart Peripheral
132,4.0,drums,SAR,9.50844,AM Contra - Heart Peripheral
133,5.0,drums,SAR,6.08048,AM Contra - Heart Peripheral
134,6.0,drums,SAR,13.54085,AM Contra - Heart Peripheral
135,7.0,drums,SAR,5.88082,AM Contra - Heart Peripheral
136,8.0,drums,SAR,8.4808,AM Contra - Heart Peripheral
137,9.0,drums,SAR,7.51599,AM Contra - Heart Peripheral
138,10.0,drums,SAR,6.91141,AM Contra - Heart Peripheral
139,11.0,drums,SAR,8.89424,AM Contra - Heart Peripheral
140,12.0,drums,SAR,6.77549,AM Contra - Heart Peripheral
141,13.0,drums,SAR,12.53798,AM Contra - Heart Peripheral
142,14.0,drums,SAR,5.82578,AM Contra - Heart Peripheral
143,15.0,drums,SAR,8.5904,AM Contra - Heart Peripheral
144,16.0,drums,SAR,6.63655,AM Contra - Heart Peripheral
145,17.0,drums,SAR,6.77904,AM Contra - Heart Peripheral
