,time,target,metric,score,track
0,0.0,drums,SDR,-21.75626,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-21.31161,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-21.38169,AM Contra - Heart Peripheral
3,3.0,drums,SDR,10.24716,AM Contra - Heart Peripheral
4,4.0,drums,SDR,11.6323,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.85644,AM Contra - Heart Peripheral
6,6.0,drums,SDR,14.73666,AM Contra - Heart Peripheral
7,7.0,drums,SDR,8.34824,AM Contra - Heart Peripheral
8,8.0,drums,SDR,9.5697,AM Contra - Heart Peripheral
9,9.0,drums,SDR,8.79358,AM Contra - Heart Peripheral
10,10.0,drums,SDR,8.85597,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.94892,AM Contra - Heart Peripheral
12,12.0,drums,SDR,7.13812,AM Contra - Heart Peripheral
13,13.0,drums,SDR,13.08288,AM Contra - Heart Peripheral
14,14.0,drums,SDR,7.46631,AM Contra - Heart Peripheral
15,15.0,drums,SDR,10.05553,AM Contra - Heart Peripheral
16,16.0,drums,SDR,6.76495,AM Contra - Heart Peripheral
17,17.0,drums,SDR,7.57581,AM Contra - Heart Peripheral
18,18.0,drums,SDR,14.49666,AM Contra - Heart Peripheral
19,19.0,drums,SDR,14.98043,AM Contra - Heart Peripheral
20,20.0,drums,SDR,11.86464,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.13667,AM Contra - Heart Peripheral
22,22.0,drums,SDR,10.77891,AM Contra - Heart Peripheral
23,23.0,drums,SDR,5.90989,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.01213,AM Contra - Heart Peripheral
25,25.0,drums,SDR,13.0234,AM Contra - Heart Peripheral
26,26.0,drums,SDR,12.60382,AM Contra - Heart Peripheral
27,27.0,drums,SDR,14.57083,AM Contra - Heart Peripheral
28,28.0,drums,SDR,7.57961,AM Contra - Heart Peripheral
29,29.0,drums,SDR,11.37081,AM Contra - Heart Peripheral
30,30.0,drums,SDR,7.40996,AM Contra - Heart Peripheral
31,31.0,drums,SDR,8.09663,AM Contra - Heart Peripheral
32,32.0,drums,SDR,12.32456,AM Contra - Heart Peripheral
33,33.0,drums,SDR,12.25704,AM Contra - Heart Peripheral
34,34.0,drums,SDR,12.78849,AM Contra - Heart Peripheral
35,35.0,drums,SDR,12.17672,AM Contra - Heart Peripheral
36,36.0,drums,SDR,12.27284,AM Contra - Heart Peripheral
37,37.0,drums,SDR,7.08845,AM Contra - Heart Peripheral
38,38.0,drums,SDR,7.79202,AM Contra - Heart Peripheral
39,39.0,drums,SDR,12.02518,AM Contra - Heart Peripheral
40,40.0,drums,SDR,12.01443,AM Contra - Heart Peripheral
41,41.0,drums,SDR,12.68136,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.93079,AM Contra - Heart Peripheral
43,43.0,drums,SDR,11.93541,AM Contra - Heart Peripheral
44,44.0,drums,SDR,9.2888,AM Contra - Heart Peripheral
45,45.0,drums,SDR,6.43284,AM Contra - Heart Peripheral
46,46.0,drums,SDR,4.27559,AM Contra - Heart Peripheral
47,47.0,drums,SDR,3.08373,AM Contra - Heart Peripheral
48,48.0,drums,SDR,3.26272,AM Contra - Heart Peripheral
49,49.0,drums,SDR,3.58097,AM Contra - Heart Peripheral
50,50.0,drums,SDR,3.54542,AM Contra - Heart Peripheral
51,51.0,drums,SDR,3.43992,AM Contra - Heart Peripheral
52,52.0,drums,SDR,2.92301,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.22925,AM Contra - Heart Peripheral
54,54.0,drums,SDR,2.87406,AM Contra - Heart Peripheral
55,55.0,drums,SDR,3.23407,AM Contra - Heart Peripheral
56,56.0,drums,SDR,4.37094,AM Contra - Heart Peripheral
57,57.0,drums,SDR,3.68929,AM Contra - Heart Peripheral
58,58.0,drums,SDR,3.24127,AM Contra - Heart Peripheral
59,59.0,drums,SDR,4.11984,AM Contra - Heart Peripheral
60,60.0,drums,SDR,3.34445,AM Contra - Heart Peripheral
61,61.0,drums,SDR,4.86793,AM Contra - Heart Peripheral
62,62.0,drums,SDR,3.75608,AM Contra - Heart Peripheral
63,63.0,drums,SDR,4.42852,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-21.75626,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-21.31161,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-21.38169,AM Contra - Heart Peripheral
67,3.0,bass,SDR,10.24716,AM Contra - Heart Peripheral
68,4.0,bass,SDR,11.6323,AM Contra - Heart Peripheral
