,time,target,metric,score,track
0,0.0,drums,SDR,-21.29756,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-20.92377,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-20.99421,AM Contra - Heart Peripheral
3,3.0,drums,SDR,9.77608,AM Contra - Heart Peripheral
4,4.0,drums,SDR,8.83312,AM Contra - Heart Peripheral
5,5.0,drums,SDR,7.60147,AM Contra - Heart Peripheral
6,6.0,drums,SDR,13.88144,AM Contra - Heart Peripheral
7,7.0,drums,SDR,8.5694,AM Contra - Heart Peripheral
8,8.0,drums,SDR,9.76622,AM Contra - Heart Peripheral
9,9.0,drums,SDR,8.65353,AM Contra - Heart Peripheral
10,10.0,drums,SDR,7.75204,AM Contra - Heart Peripheral
11,11.0,drums,SDR,8.84025,AM Contra - Heart Peripheral
12,12.0,drums,SDR,6.00572,AM Contra - Heart Peripheral
13,13.0,drums,SDR,11.73705,AM Contra - Heart Peripheral
14,14.0,drums,SDR,6.92144,AM Contra - Heart Peripheral
15,15.0,drums,SDR,8.05938,AM Contra - Heart Peripheral
16,16.0,drums,SDR,6.14253,AM Contra - Heart Peripheral
17,17.0,drums,SDR,7.83715,AM Contra - Heart Peripheral
18,18.0,drums,SDR,10.94569,AM Contra - Heart Peripheral
19,19.0,drums,SDR,11.47679,AM Contra - Heart Peripheral
20,20.0,drums,SDR,12.01652,AM Contra - Heart Peripheral
21,21.0,drums,SDR,4.82699,AM Contra - Heart Peripheral
22,22.0,drums,SDR,10.5477,AM Contra - Heart Peripheral
23,23.0,drums,SDR,7.35174,AM Contra - Heart Peripheral
24,24.0,drums,SDR,9.3092,AM Contra - Heart Peripheral
25,25.0,drums,SDR,13.44683,AM Contra - Heart Peripheral
26,26.0,drums,SDR,13.70412,AM Contra - Heart Peripheral
27,27.0,drums,SDR,14.45127,AM Contra - Heart Peripheral
28,28.0,drums,SDR,7.10782,AM Contra - Heart Peripheral
29,29.0,drums,SDR,8.82763,AM Contra - Heart Peripheral
30,30.0,drums,SDR,8.89415,AM Contra - Heart Peripheral
31,31.0,drums,SDR,7.13659,AM Contra - Heart Peripheral
32,32.0,drums,SDR,10.76605,AM Contra - Heart Peripheral
33,33.0,drums,SDR,9.76505,AM Contra - Heart Peripheral
34,34.0,drums,SDR,12.13328,AM Contra - Heart Peripheral
35,35.0,drums,SDR,11.08055,AM Contra - Heart Peripheral
36,36.0,drums,SDR,11.45711,AM Contra - Heart Peripheral
37,37.0,drums,SDR,7.05095,AM Contra - Heart Peripheral
38,38.0,drums,SDR,7.42973,AM Contra - Heart Peripheral
39,39.0,drums,SDR,9.8158,AM Contra - Heart Peripheral
40,40.0,drums,SDR,12.089,AM Contra - Heart Peripheral
41,41.0,drums,SDR,12.67909,AM Contra - Heart Peripheral
42,42.0,drums,SDR,5.5298,AM Contra - Heart Peripheral
43,43.0,drums,SDR,10.10426,AM Contra - Heart Peripheral
44,44.0,drums,SDR,8.6458,AM Contra - Heart Peripheral
45,45.0,drums,SDR,6.33368,AM Contra - Heart Peripheral
46,46.0,drums,SDR,4.07855,AM Contra - Heart Peripheral
47,47.0,drums,SDR,2.91762,AM Contra - Heart Peripheral
48,48.0,drums,SDR,4.13764,AM Contra - Heart Peripheral
49,49.0,drums,SDR,3.02539,AM Contra - Heart Peripheral
50,50.0,drums,SDR,3.40659,AM Contra - Heart Peripheral
51,51.0,drums,SDR,2.90375,AM Contra - Heart Peripheral
52,52.0,drums,SDR,3.42953,AM Contra - Heart Peripheral
53,53.0,drums,SDR,2.3035,AM Contra - Heart Peripheral
54,54.0,drums,SDR,3.17576,AM Contra - Heart Peripheral
55,55.0,drums,SDR,3.70369,AM Contra - Heart Peripheral
56,56.0,drums,SDR,4.37243,AM Contra - Heart Peripheral
57,57.0,drums,SDR,3.852,AM Contra - Heart Peripheral
