,time,target,metric,score,track
0,0.0,drums,SDR,-14.82298,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-14.99078,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-15.06826,AM Contra - Heart Peripheral
3,3.0,drums,SDR,1.33946,AM Contra - Heart Peripheral
4,4.0,drums,SDR,0.70387,AM Contra - Heart Peripheral
5,5.0,drums,SDR,0.47593,AM Contra - Heart Peripheral
6,6.0,drums,SDR,0.71635,AM Contra - Heart Peripheral
7,7.0,drums,SDR,0.35184,AM Contra - Heart Peripheral
8,8.0,drums,SDR,0.37657,AM Contra - Heart Peripheral
9,9.0,drums,SDR,0.94765,AM Contra - Heart Peripheral
10,10.0,drums,SDR,0.19446,AM Contra - Heart Peripheral
11,11.0,drums,SDR,0.31232,AM Contra - Heart Peripheral
12,12.0,drums,SDR,2.52606,AM Contra - Heart Peripheral
13,13.0,drums,SDR,4.7311,AM Contra - Heart Peripheral
14,14.0,drums,SDR,1.64219,AM Contra - Heart Peripheral
15,15.0,drums,SDR,2.50109,AM Contra - Heart Peripheral
16,16.0,drums,SDR,2.20359,AM Contra - Heart Peripheral
17,17.0,drums,SDR,0.1882,AM Contra - Heart Peripheral
18,18.0,drums,SDR,4.56258,AM Contra - Heart Peripheral
19,19.0,drums,SDR,4.61901,AM Contra - Heart Peripheral
20,20.0,drums,SDR,0.62326,AM Contra - Heart Peripheral
21,21.0,drums,SDR,0.22437,AM Contra - Heart Peripheral
22,22.0,drums,SDR,0.59743,AM Contra - Heart Peripheral
23,23.0,drums,SDR,0.54685,AM Contra - Heart Peripheral
24,24.0,drums,SDR,0.23261,AM Contra - Heart Peripheral
25,25.0,drums,SDR,3.50818,AM Contra - Heart Peripheral
26,26.0,drums,SDR,3.57302,AM Contra - Heart Peripheral
27,27.0,drums,SDR,2.6265,AM Contra - Heart Peripheral
28,28.0,drums,SDR,0.94951,AM Contra - Heart Peripheral
29,29.0,drums,SDR,2.66764,AM Contra - Heart Peripheral
30,30.0,drums,SDR,1.1197,AM Contra - Heart Peripheral
31,31.0,drums,SDR,1.61807,AM Contra - Heart Peripheral
