,time,target,metric,score,track
0,0.0,drums,SDR,-54.32819,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-53.83279,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-53.91329,AM Contra - Heart Peripheral
3,3.0,drums,SDR,-0.96977,AM Contra - Heart Peripheral
4,4.0,drums,SDR,-0.04744,AM Contra - Heart Peripheral
5,5.0,drums,SDR,-0.04859,AM Contra - Heart Peripheral
6,6.0,drums,SDR,-0.06796,AM Contra - Heart Peripheral
7,7.0,drums,SDR,-0.18798,AM Contra - Heart Peripheral
8,8.0,drums,SDR,-0.08813,AM Contra - Heart Peripheral
9,9.0,drums,SDR,-0.04769,AM Contra - Heart Peripheral
10,10.0,drums,SDR,-0.05706,AM Contra - Heart Peripheral
11,11.0,drums,SDR,-0.29349,AM Contra - Heart Peripheral
12,12.0,drums,SDR,-0.0315,AM Contra - Heart Peripheral
13,13.0,drums,SDR,-0.07082,AM Contra - Heart Peripheral
14,14.0,drums,SDR,-0.05357,AM Contra - Heart Peripheral
15,15.0,drums,SDR,-0.10272,AM Contra - Heart Peripheral
16,16.0,drums,SDR,-0.0332,AM Contra - Heart Peripheral
17,17.0,drums,SDR,-0.06854,AM Contra - Heart Peripheral
18,18.0,drums,SDR,-0.07099,AM Contra - Heart Peripheral
19,19.0,drums,SDR,-0.72739,AM Contra - Heart Peripheral
20,20.0,drums,SDR,-0.07881,AM Contra - Heart Peripheral
21,21.0,drums,SDR,-0.0442,AM Contra - Heart Peripheral
22,22.0,drums,SDR,-0.03916,AM Contra - Heart Peripheral
23,23.0,drums,SDR,-1.23035,AM Contra - Heart Peripheral
24,24.0,drums,SDR,-0.06312,AM Contra - Heart Peripheral
25,25.0,drums,SDR,-0.04272,AM Contra - Heart Peripheral
26,26.0,drums,SDR,-0.02629,AM Contra - Heart Peripheral
27,27.0,drums,SDR,-1.50106,AM Contra - Heart Peripheral
28,28.0,drums,SDR,-0.05895,AM Contra - Heart Peripheral
29,29.0,drums,SDR,-0.05033,AM Contra - Heart Peripheral
30,30.0,drums,SDR,-0.05456,AM Contra - Heart Peripheral
31,31.0,drums,SDR,-0.26069,AM Contra - Heart Peripheral
32,32.0,drums,SDR,-0.05809,AM Contra - Heart Peripheral
33,33.0,drums,SDR,-0.0493,AM Contra - Heart Peripheral
34,34.0,drums,SDR,-0.07156,AM Contra - Heart Peripheral
35,35.0,drums,SDR,-0.12322,AM Contra - Heart Peripheral
36,36.0,drums,SDR,-0.02074,AM Contra - Heart Peripheral
37,37.0,drums,SDR,-0.06128,AM Contra - Heart Peripheral
38,38.0,drums,SDR,-0.03943,AM Contra - Heart Peripheral
39,39.0,drums,SDR,-0.03855,AM Contra - Heart Peripheral
40,40.0,drums,SDR,-0.09701,AM Contra - Heart Peripheral
41,41.0,drums,SDR,-0.04427,AM Contra - Heart Peripheral
42,42.0,drums,SDR,-0.042,AM Contra - Heart Peripheral
43,43.0,drums,SDR,-0.2573,AM Contra - Heart Peripheral
44,44.0,drums,SDR,-0.0575,AM Contra - Heart Peripheral
45,45.0,drums,SDR,0.01466,AM Contra - Heart Peripheral
46,46.0,drums,SDR,-0.01704,AM Contra - Heart Peripheral
47,47.0,drums,SDR,-0.33476,AM Contra - Heart Peripheral
48,48.0,drums,SDR,-0.09349,AM Contra - Heart Peripheral
49,49.0,drums,SDR,-0.0406,AM Contra - Heart Peripheral
50,50.0,drums,SDR,-0.04355,AM Contra - Heart Peripheral
51,51.0,drums,SDR,-0.13059,AM Contra - Heart Peripheral
52,52.0,drums,SDR,-0.01086,AM Contra - Heart Peripheral
53,53.0,drums,SDR,0.00215,AM Contra - Heart Peripheral
54,54.0,drums,SDR,-0.02645,AM Contra - Heart Peripheral
55,55.0,drums,SDR,-0.30247,AM Contra - Heart Peripheral
56,56.0,drums,SDR,-0.0091,AM Contra - Heart Peripheral
57,57.0,drums,SDR,-0.02091,AM Contra - Heart Peripheral
58,58.0,drums,SDR,-0.04418,AM Contra - Heart Peripheral
59,59.0,drums,SDR,-0.23292,AM Contra - Heart Peripheral
60,60.0,drums,SDR,-0.02731,AM Contra - Heart Peripheral
61,61.0,drums,SDR,-0.04267,AM Contra - Heart Peripheral
62,62.0,drums,SDR,-0.04696,AM Contra - Heart Peripheral
63,63.0,drums,SDR,-0.46848,AM Contra - Heart Peripheral
64,0.0,bass,SDR,-54.32819,AM Contra - Heart Peripheral
65,1.0,bass,SDR,-53.83279,AM Contra - Heart Peripheral
66,2.0,bass,SDR,-53.91329,AM Contra - Heart Peripheral
67,3.0,bass,SDR,-0.96977,AM Contra - Heart Peripheral
68,4.0,bass,SDR,-0.04744,AM Contra - Heart Peripheral
69,5.0,bass,SDR,-0.04859,AM Contra - Heart Peripheral
70,6.0,bass,SDR,-0.06796,AM Contra - Heart Peripheral
71,7.0,bass,SDR,-0.18798,AM Contra - Heart Peripheral
72,8.0,bass,SDR,-0.08813,AM Contra - Heart Peripheral
73,9.0,bass,SDR,-0.04769,AM Contra - Heart Peripheral
74,10.0,bass,SDR,-0.05706,AM Contra - Heart Peripheral
75,11.0,bass,SDR,-0.29349,AM Contra - Heart Peripheral
76,12.0,bass,SDR,-0.0315,AM Contra - Heart Peripheral
77,13.0,bass,SDR,-0.07082,AM Contra - Heart Peripheral
78,14.0,bass,SDR,-0.05357,AM Contra - Heart Peripheral
79,15.0,bass,SDR,-0.10272,AM Contra - Heart Peripheral
80,16.0,bass,SDR,-0.0332,AM Contra - Heart Peripheral
81,17.0,bass,SDR,-0.06854,AM Contra - Heart Peripheral
82,18.0,bass,SDR,-0.07099,AM Contra - Heart Peripheral
83,19.0,bass,SDR,-0.72739,AM Contra - Heart Peripheral
84,20.0,bass,SDR,-0.07881,AM Contra - Heart Peripheral
85,21.0,bass,SDR,-0.0442,AM Contra - Heart Peripheral
86,22.0,bass,SDR,-0.03916,AM Contra - Heart Peripheral
87,23.0,bass,SDR,-1.23035,AM Contra - Heart Peripheral
88,24.0,bass,SDR,-0.06312,AM Contra - Heart Peripheral
89,25.0,bass,SDR,-0.04272,AM Contra - Heart Peripheral
90,26.0,bass,SDR,-0.02629,AM Contra - Heart Peripheral
91,27.0,bass,SDR,-1.50106,AM Contra - Heart Peripheral
92,28.0,bass,SDR,-0.05895,AM Contra - Heart Peripheral
93,29.0,bass,SDR,-0.05033,AM Contra - Heart Peripheral
94,30.0,bass,SDR,-0.05456,AM Contra - Heart Peripheral
95,31.0,bass,SDR,-0.26069,AM Contra - Heart Peripheral
96,32.0,bass,SDR,-0.05809,AM Contra - Heart Peripheral
97,33.0,bass,SDR,-0.0493,AM Contra - Heart Peripheral
98,34.0,bass,SDR,-0.07156,AM Contra - Heart Peripheral
99,35.0,bass,SDR,-0.12322,AM Contra - Heart Peripheral
100,36.0,bass,SDR,-0.02074,AM Contra - Heart Peripheral
101,37.0,bass,SDR,-0.06128,AM Contra - Heart Peripheral
102,38.0,bass,SDR,-0.03943,AM Contra - Heart Peripheral
103,39.0,bass,SDR,-0.03855,AM Contra - Heart Peripheral
